Storm ID,Storm Name,Landfall_ID_Muller,BE Damage_Grinsted_2019,BE Damage_Weinkle_2018,Monthly Weather Review ,Damage Description Monthly Weather Review,  BE Damage_Muller et al,Updates from NCEI (obtained May 2024),Damage details if available_Muller et al_dataset,Loss States_Muller,Reference for Muller et al. dataset,DOI for Muller et al. dataset,Direct Link (if DOI is unavailable)
AL011900,Galveston,LF1,"30,000,000","30,000,000","30,000,000","Damage from Galveston Island only. Other damage inland was noted, but not quantified","30,000,000",NA,"Damage from Galveston Island only. Other damage inland was noted, but not quantified",TX,"Garriott, E.B 1900: Forecasts and Warnings, Monthly Weather Review, Weather Bureau Washington DC, September 1900. Vol 28, No.9, Editor C. Abbe pp.371",https://doi.org/10.1175/1520-0493(1900)28[371b:WIHOS]2.0.CO;2,
AL031903,Florida,LF1,"670,000","700,000","670,000","West Palm and Miami (100,000) Tampa (200,000), Ships (370,000)","670,000",NA,"West Palm and Miami (100,000) Tampa (200,000), Ships (370,000)",FL ,"Garriott, E.B 1903: Forecasts and Warnings, Monthly Weather Review, Weather Bureau Washington DC, August 1903. Vol 31, No.9, Editor C. Abbe pp.407",https://doi.org/10.1175/1520-0493(1903)31[407b:FAW]2.0.CO;2,
AL021915,Galveston,LF1,"50,000,000","50,000,000","50,000,000","Crops, buildings, railroads, shipping, livestock and property 6,000,000 in Galveston 1,000,000 in Houston","50,000,000",NA,"Crops, buildings, railroads, shipping, livestock and property 6,000,000 in Galveston 1,000,000 in Houston",TX,"Frankenfield, H.C 1915: The Tropical Storm of August 10, 1915, Monthly Weather Review, Weather Bureau Washington DC, September 1915, pp 411",https://doi.org/10.1175/1520-0493(1915)43<405:TTSOA>2.0.CO;2,
AL021919,Florida Keys,LF1,"2,000,000","22,000,000 TOTAL","2,000,000","Sth Florida, Property loss is estimated at $2,000,000, the air station alone losing $800,000","2,000,000",NA,"Sth Florida, Property loss is estimated at $2,000,000, the air station alone losing $800,000",FL,"Frankenfield, H.C 1919: Special Forecasts and Warnings, Monthly Weather Review, Weather Bureau Washington DC, October 1919, pp 665",https://doi.org/10.1175/1520-0493(1919)47<664:WWS>2.0.CO;2,
AL021919,Florida Keys,LF2,"20,000,000","22,000,000 TOTAL","20,000,000",Tremendous property damage Corpus Christi,"20,000,000",NA,Tremendous property damage Corpus Christi,TX,"Frankenfield, H.C 1919: Special Forecasts and Warnings, Monthly Weather Review, Weather Bureau Washington DC, October 1919, pp 670",https://doi.org/10.1175/1520-0493(1919)47<664:WWS>2.0.CO;2,
AL011926,Storm 1 in 1926,LF1,"3,051,000","3,000,000","3,140,000","Fort Pierce, $30,000; Cocoa, $50,000; Stuart, $100,000; Palm Beach, West Palm Beach, and Lake Worth (combined), $2,000,000 to $3,000,000; New Smyrna $10,000; Cocoa, $300,000; Miami district, $150,000","3,140,000",NA,"Fort Pierce, $30,000; Cocoa, $50,000; Stuart, $100,000; Palm Beach, West Palm Beach, and Lake Worth (combined), $2,000,000 to $3,000,000; New Smyrna $10,000; Cocoa, $300,000; Miami district, $150,000",FL,Washington Forecast District 1926: Monthly Weather Review 54.7 (1926): 313-314,https://doi.org/10.1175/1520-0493(1926)54<312:WFD>2.0.CO;2,
AL031926,Storm 3 in 1926,LF1,"7,000,000","4,000,000","3,500,000","Property damage of all kinds 3,000,000 - 4,000,000. Damage to crops will reach equal of higher to that damage","3,500,000",NA,"Property damage of all kinds 3,000,000 - 4,000,000. Damage to crops will reach equal of higher to that damage",LA,"Dyke, R.A. 1919: The Tropical Storm of August 25-26, 1926, in Southern Louisiana, Monthly Weather Review, Weather Bureau Washington DC, September 1926, pp 369",https://doi.org/10.1175/1520-0493(1926)54<369:TTSOAI>2.0.CO;2,
AL071926,Great Miami,LF1,"76,000,000","105,000,000  TOTAL","76,000,000","Property loss in the Greater Miami area at 76,000,000","76,000,000",NA,"Property loss in the Greater Miami area at 76,000,000",FL,"Mitchell, C. 1919: The West Indian Hurricane of September 14-22 1926, Monthly Weather Review, Weather Bureau Washington DC, October 1926, Vol 54, No.10 pp 412, Editor A. Henry",https://doi.org/10.1175/1520-0493(1926)54<409:TWIHOS>2.0.CO;2,
AL071926,Great Miami,LF2,"29,000,000","105,000,000  TOTAL","29,000,000","We assume 105 million minus the 76 million equaling 29,000,000 remainder losses for secondary landfall","29,000,000",NA,"We assume 105 million minus the 76 million equaling 29,000,000 remainder losses for secondary landfall",Other States,"Mitchell, C. 1919: The West Indian Hurricane of September 14-22 1926, Monthly Weather Review, Weather Bureau Washington DC, October 1926, Vol 54, No.10 pp 412, Editor A. Henry",https://doi.org/10.1175/1520-0493(1926)54<409:TWIHOS>2.0.CO;2,
AL041928,Lake Okeechobee,LF1,"25,000,000","25,000,000","25,000,000","The total property loss at West Palm Beach, Palm Beach and Other places in FL","25,000,000",NA,"The total property loss at West Palm Beach, Palm Beach and Other places in FL",FL,"Mitchell, C. 1928: The West Indian Hurricane of September 10-20 1928, Monthly Weather Review, Weather Bureau Washington DC, December 1928, Vol 56, No.9 pp 350, Editor A. Henry",https://doi.org/10.1175/1520-0493(1928)56<347:TWIHOS>2.0.CO;2,
