Year,GDP Deflator (index 2017=100),Inflation Adjustment,,,,,,,,,,,,,,,,,,,,,,,
1900,4.06,29.06,,"Johnson L, and Williamson, S.H. 2023: ""What Was the U.S. GDP Then?"" Measuring Worth. Retrieved from https://www.measuringworth.com/datasets/usgdp/result.php",,,,,,,,,,,,,,,,,,,,,
1901,4.18,28.23,,,,,,,,,,,,,,,,,,,,,,,
1902,4.29,27.51,,,,,,,,,,,,,,,,,,,,,,,
1903,4.49,26.28,,,,,,,,,,,,,,,,,,,,,,,
1904,4.61,25.60,,,,,,,,,,,,,,,,,,,,,,,
1905,4.65,25.38,,,,,,,,,,,,,,,,,,,,,,,
1906,4.81,24.53,,,,,,,,,,,,,,,,,,,,,,,
1907,5.12,23.05,,,,,,,,,,,,,,,,,,,,,,,
1908,5.11,23.09,,,,,,,,,,,,,,,,,,,,,,,
1909,5.04,23.41,,,,,,,,,,,,,,,,,,,,,,,
1910,5.17,22.82,,,,,,,,,,,,,,,,,,,,,,,
1911,5.14,22.96,,,,,,,,,,,,,,,,,,,,,,,
1912,5.35,22.06,,,,,,,,,,,,,,,,,,,,,,,
1913,5.39,21.89,,,,,,,,,,,,,,,,,,,,,,,
1914,5.44,21.69,,,,,,,,,,,,,,,,,,,,,,,
1915,5.61,21.03,,,,,,,,,,,,,,,,,,,,,,,
1916,6.32,18.67,,,,,,,,,,,,,,,,,,,,,,,
1917,7.80,15.13,,,,,,,,,,,,,,,,,,,,,,,
1918,9.09,12.98,,,,,,,,,,,,,,,,,,,,,,,
1919,9.31,12.67,,,,,,,,,,,,,,,,,,,,,,,
1920,10.61,11.12,,,,,,,,,,,,,,,,,,,,,,,
1921,9.04,13.05,,,,,,,,,,,,,,,,,,,,,,,
1922,8.54,13.82,,,,,,,,,,,,,,,,,,,,,,,
1923,8.78,13.44,,,,,,,,,,,,,,,,,,,,,,,
1924,8.67,13.61,,,,,,,,,,,,,,,,,,,,,,,
1925,8.83,13.36,,,,,,,,,,,,,,,,,,,,,,,
1926,8.87,13.30,,,,,,,,,,,,,,,,,,,,,,,
1927,8.66,13.63,,,,,,,,,,,,,,,,,,,,,,,
1928,8.72,13.53,,,,,,,,,,,,,,,,,,,,,,,
1929,8.75,13.49,,,,,,,,,,,,,,,,,,,,,,,
1930,8.42,14.01,,,,,,,,,,,,,,,,,,,,,,,
1931,7.58,15.57,,,,,,,,,,,,,,,,,,,,,,,
1932,6.72,17.56,,,,,,,,,,,,,,,,,,,,,,,
1933,6.54,18.04,,,,,,,,,,,,,,,,,,,,,,,
1934,6.86,17.20,,,,,,,,,,,,,,,,,,,,,,,
1935,6.99,16.88,,,,,,,,,,,,,,,,,,,,,,,
1936,7.08,16.67,,,,,,,,,,,,,,,,,,,,,,,
1937,7.34,16.08,,,,,,,,,,,,,,,,,,,,,,,
1938,7.20,16.39,,,,,,,,,,,,,,,,,,,,,,,
1939,7.11,16.60,,,,,,,,,,,,,,,,,,,,,,,
1940,7.18,16.43,,,,,,,,,,,,,,,,,,,,,,,
1941,7.65,15.42,,,,,,,,,,,,,,,,,,,,,,,
1942,8.29,14.23,,,,,,,,,,,,,,,,,,,,,,,
1943,8.68,13.59,,,,,,,,,,,,,,,,,,,,,,,
1944,8.89,13.27,,,,,,,,,,,,,,,,,,,,,,,
1945,9.11,12.95,,,,,,,,,,,,,,,,,,,,,,,
1946,10.26,11.50,,,,,,,,,,,,,,,,,,,,,,,
1947,11.41,10.34,,,,,,,,,,,,,,,,,,,,,,,
1948,12.06,9.78,,,,,,,,,,,,,,,,,,,,,,,
1949,12.05,9.79,,,,,,,,,,,,,,,,,,,,,,,
1950,12.17,9.70,,,,,,,,,,,,,,,,,,,,,,,
1951,12.99,9.08,,,,,,,,,,,,,,,,,,,,,,,
1952,13.27,8.89,,,,,,,,,,,,,,,,,,,,,,,
1953,13.44,8.78,,,,,,,,,,,,,,,,,,,,,,,
1954,13.58,8.69,,,,,,,,,,,,,,,,,,,,,,,
1955,13.77,8.57,,,,,,,,,,,,,,,,,,,,,,,
1956,14.24,8.29,,,,,,,,,,,,,,,,,,,,,,,
1957,14.74,8.01,,,,,,,,,,,,,,,,,,,,,,,
1958,15.09,7.82,,,,,,,,,,,,,,,,,,,,,,,
1959,15.29,7.72,,,,,,,,,,,,,,,,,,,,,,,
1960,15.49,7.62,,,,,,,,,,,,,,,,,,,,,,,
1961,15.66,7.54,,,,,,,,,,,,,,,,,,,,,,,
1962,15.85,7.44,,,,,,,,,,,,,,,,,,,,,,,
1963,16.03,7.36,,,,,,,,,,,,,,,,,,,,,,,
1964,16.28,7.25,,,,,,,,,,,,,,,,,,,,,,,
1965,16.57,7.12,,,,,,,,,,,,,,,,,,,,,,,
1966,17.04,6.92,,,,,,,,,,,,,,,,,,,,,,,
