Date,Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods,Wealth Ratio,,,,,,,,,,,,,,,,,,,,,,,
1900,138.92,673.66,"U.S. Bureau of Economic Analysis, Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods [K1WTOTL1ES000], retrieved from FRED, Federal Reserve Bank of St. Louis; https://fred.stlouisfed.org/series/K1WTOTL1ES000, April 14, 2023",,,,,,,,,,,,,,,,,,,,,,
1901,143.22,653.45,https://fred.stlouisfed.org/series/K1WTOTL1ES000,,,,,,,,,,,,,,,,,,,,,,
1902,147.65,633.85,*numbers before 1925 calculated as 3% less that the preceding year after Pielke 2008,,,,,,,,,,,,,,,,,,,,,,
1903,152.22,614.84,*Wealth ratio = 2022 CCNSFACDG/year CCNSFACDG,,,,,,,,,,,,,,,,,,,,,,
1904,156.93,596.39,,,,,,,,,,,,,,,,,,,,,,,
1905,161.78,578.50,,,,,,,,,,,,,,,,,,,,,,,
1906,166.78,561.14,,,,,,,,,,,,,,,,,,,,,,,
1907,171.94,544.31,,,,,,,,,,,,,,,,,,,,,,,
1908,177.26,527.98,,,,,,,,,,,,,,,,,,,,,,,
1909,182.74,512.14,,,,,,,,,,,,,,,,,,,,,,,
1910,188.39,496.78,,,,,,,,,,,,,,,,,,,,,,,
1911,194.22,481.87,,,,,,,,,,,,,,,,,,,,,,,
1912,200.23,467.42,,,,,,,,,,,,,,,,,,,,,,,
1913,206.42,453.39,,,,,,,,,,,,,,,,,,,,,,,
1914,212.80,439.79,,,,,,,,,,,,,,,,,,,,,,,
1915,219.38,426.60,,,,,,,,,,,,,,,,,,,,,,,
1916,226.17,413.80,,,,,,,,,,,,,,,,,,,,,,,
1917,233.16,401.39,,,,,,,,,,,,,,,,,,,,,,,
1918,240.37,389.35,,,,,,,,,,,,,,,,,,,,,,,
1919,247.81,377.66,,,,,,,,,,,,,,,,,,,,,,,
1920,255.47,366.33,,,,,,,,,,,,,,,,,,,,,,,
1921,263.37,355.34,,,,,,,,,,,,,,,,,,,,,,,
1922,271.52,344.68,,,,,,,,,,,,,,,,,,,,,,,
1923,279.92,334.34,,,,,,,,,,,,,,,,,,,,,,,
1924,288.58,324.31,,,,,,,,,,,,,,,,,,,,,,,
1925,297.60,314.48,,,,,,,,,,,,,,,,,,,,,,,
1926,307.80,304.06,,,,,,,,,,,,,,,,,,,,,,,
1927,315.70,296.45,,,,,,,,,,,,,,,,,,,,,,,
1928,328.30,285.07,,,,,,,,,,,,,,,,,,,,,,,
1929,333.60,280.54,,,,,,,,,,,,,,,,,,,,,,,
1930,318.60,293.75,,,,,,,,,,,,,,,,,,,,,,,
1931,277.70,337.01,,,,,,,,,,,,,,,,,,,,,,,
1932,250.80,373.16,,,,,,,,,,,,,,,,,,,,,,,
1933,264.10,354.37,,,,,,,,,,,,,,,,,,,,,,,
1934,273.90,341.69,,,,,,,,,,,,,,,,,,,,,,,
1935,275.00,340.32,,,,,,,,,,,,,,,,,,,,,,,
1936,304.30,307.55,,,,,,,,,,,,,,,,,,,,,,,
1937,320.70,291.83,,,,,,,,,,,,,,,,,,,,,,,
1938,323.30,289.48,,,,,,,,,,,,,,,,,,,,,,,
