Year,Inflation Adjustment,Wealth Ratio,Inflation corrected wealth adjustment,Real Wealth Multiplier (Pop),RWM (Housing Units),,,,,,,,,,,,,,,,,,,,
1900,29.06403941,673.6643295,23.17862015,5.298361191,2.299784768,,,,,,,,,,,,,,,,,,,,
1901,28.22966507,653.4543996,23.14779144,5.397584531,2.344890976,,,,,,,,,,,,,,,,,,,,
1902,27.50582751,633.8507674,23.04423553,5.47923244,2.382350234,,,,,,,,,,,,,,,,,,,,
1903,26.28062361,614.8352447,23.39500211,5.670039631,2.46729247,,,,,,,,,,,,,,,,,,,,
1904,25.59652928,596.3901872,23.29965054,5.753897713,2.505717485,,,,,,,,,,,,,,,,,,,,
1905,25.37634409,578.4984817,22.7967622,5.734367242,2.499069923,,,,,,,,,,,,,,,,,,,,
1906,24.53222453,561.1435271,22.87373191,5.858740664,2.555102425,,,,,,,,,,,,,,,,,,,,
1907,23.046875,544.3092213,23.61748486,6.157667849,2.687325451,,,,,,,,,,,,,,,,,,,,
1908,23.09197652,527.9799448,22.86421625,6.066240461,2.649189448,,,,,,,,,,,,,,,,,,,,
1909,23.41269841,512.1405464,21.87447757,5.904071733,2.580027779,,,,,,,,,,,,,,,,,,,,
1910,22.82398453,496.7763299,21.7655392,5.974593083,2.665560349,,,,,,,,,,,,,,,,,,,,
1911,22.95719844,481.8730402,20.99006294,5.847894784,2.609695932,,,,,,,,,,,,,,,,,,,,
1912,22.05607477,467.4168489,21.19220459,5.991210135,2.674310657,,,,,,,,,,,,,,,,,,,,
1913,21.89239332,453.3943434,20.71013145,5.939943175,2.652060643,,,,,,,,,,,,,,,,,,,,
1914,21.69117647,439.7925131,20.27518027,5.898426863,2.634136414,,,,,,,,,,,,,,,,,,,,
1915,21.03386809,426.5987376,20.28151625,5.983529645,2.672745349,,,,,,,,,,,,,,,,,,,,
1916,18.67088608,413.8007757,22.162889,6.629562272,2.961967909,,,,,,,,,,,,,,,,,,,,
1917,15.12820513,401.3867524,26.53234465,8.04551344,3.59535697,,,,,,,,,,,,,,,,,,,,
1918,12.98129813,389.3451498,29.99277467,9.217960167,4.120152954,,,,,,,,,,,,,,,,,,,,
1919,12.6745435,377.6647952,29.79711223,9.280148274,4.148788444,,,,,,,,,,,,,,,,,,,,
1920,11.12158341,366.3348514,32.9390913,10.39392185,4.700334221,,,,,,,,,,,,,,,,,,,,
1921,13.05309735,355.3448058,27.2230258,8.729425738,3.976731405,,,,,,,,,,,,,,,,,,,,
1922,13.81733021,344.6844617,24.94580765,8.126767596,3.728441501,,,,,,,,,,,,,,,,,,,,
1923,13.43963554,334.3439278,24.87745497,8.231712529,3.802359668,,,,,,,,,,,,,,,,,,,,
1924,13.61014994,324.31361,23.82880507,8.006574592,3.722668039,,,,,,,,,,,,,,,,,,,,
1925,13.36353341,314.4784946,23.53258566,8.027379245,3.755976993,,,,,,,,,,,,,,,,,,,,
1926,13.30326945,304.05718,22.85582361,7.913398697,3.725257919,,,,,,,,,,,,,,,,,,,,
1927,13.62586605,296.4485271,21.75630716,7.643964263,3.619627057,,,,,,,,,,,,,,,,,,,,
1928,13.53211009,285.0709717,21.06626164,7.509244238,3.576068236,,,,,,,,,,,,,,,,,,,,
1929,13.48571429,280.5419664,20.80290005,7.521743938,3.601716065,,,,,,,,,,,,,,,,,,,,
1930,14.01425178,293.7501569,20.96081628,7.686026651,3.705941664,,,,,,,,,,,,,,,,,,,,
1931,15.56728232,337.0140439,21.64886825,7.996073241,4.001698615,,,,,,,,,,,,,,,,,,,,
1932,17.55952381,373.1610845,21.25120753,7.905883268,4.099101743,,,,,,,,,,,,,,,,,,,,
1933,18.04281346,354.3687997,19.64044025,7.359035436,3.946358825,,,,,,,,,,,,,,,,,,,,
1934,17.20116618,341.6896678,19.86433153,7.49591251,4.151100633,,,,,,,,,,,,,,,,,,,,
1935,16.88125894,340.3229091,20.15980622,7.66118737,4.374978319,,,,,,,,,,,,,,,,,,,,
1936,16.66666667,307.5543871,18.45326323,7.061885729,4.153040076,,,,,,,,,,,,,,,,,,,,
1937,16.07629428,291.8266292,18.15260558,6.995248674,4.231363934,,,,,,,,,,,,,,,,,,,,
1938,16.38888889,289.4797402,17.66317059,6.853757233,4.259329702,,,,,,,,,,,,,,,,,,,,
1939,16.59634318,283.8604792,17.10379667,6.682330043,4.261995414,,,,,,,,,,,,,,,,,,,,
1940,16.43454039,263.6304225,16.04124096,6.309986888,4.126232114,,,,,,,,,,,,,,,,,,,,
1941,15.4248366,230.8554514,14.9664763,5.97256723,3.938720827,,,,,,,,,,,,,,,,,,,,
1942,14.23401689,199.2098765,13.99533794,5.664833726,3.766321905,,,,,,,,,,,,,,,,,,,,
1943,13.59447005,177.1508613,13.03109725,5.348855184,3.584277162,,,,,,,,,,,,,,,,,,,,
1944,13.27334083,165.3512367,12.45739402,5.184409464,3.500511869,,,,,,,,,,,,,,,,,,,,
1945,12.95279912,153.7266754,11.86822045,5.006893837,3.405488382,,,,,,,,,,,,,,,,,,,,
1946,11.50097466,133.4504492,11.60340346,4.961345731,3.398461037,,,,,,,,,,,,,,,,,,,,
1947,10.34180543,115.8994427,11.20688679,4.855714482,3.348930506,,,,,,,,,,,,,,,,,,,,
1948,9.784411277,108.4333217,11.08225305,4.864912546,3.377548954,,,,,,,,,,,,,,,,,,,,
1949,9.79253112,106.7390511,10.90004717,4.84708763,3.386797517,,,,,,,,,,,,,,,,,,,,
1950,9.695973706,95.54752425,9.854350594,4.438278925,3.121202404,,,,,,,,,,,,,,,,,,,,
1951,9.083910701,86.87348,9.563444959,4.38694886,3.109100741,,,,,,,,,,,,,,,,,,,,
1952,8.892238131,82.0954386,9.232258222,4.311957254,3.078697205,,,,,,,,,,,,,,,,,,,,
1953,8.779761905,78.88469319,8.984832851,4.271265218,3.071383227,,,,,,,,,,,,,,,,,,,,
1954,8.689248895,75.5540486,8.695118474,4.205993694,3.045117735,,,,,,,,,,,,,,,,,,,,
1955,8.569353667,69.57240559,8.118745974,3.994843272,2.911213284,,,,,,,,,,,,,,,,,,,,
1956,8.286516854,64.07558538,7.73251132,3.869229299,2.837432105,,,,,,,,,,,,,,,,,,,,
1957,8.005427408,60.85493205,7.601709309,3.867121515,2.853054352,,,,,,,,,,,,,,,,,,,,
1958,7.819748178,58.94986143,7.538588211,3.897828264,2.892455457,,,,,,,,,,,,,,,,,,,,
1959,7.717462394,56.67583116,7.343842869,3.858329926,2.879195977,,,,,,,,,,,,,,,,,,,,
1960,7.617817947,54.86183246,7.201777838,3.843702353,2.884205571,,,,,,,,,,,,,,,,,,,,
1961,7.535121328,52.9198756,7.023095355,3.798270611,2.862634607,,,,,,,,,,,,,,,,,,,,
1962,7.444794953,50.65973801,6.804719046,3.728548355,2.822058152,,,,,,,,,,,,,,,,,,,,
1963,7.361197754,48.6883779,6.614192354,3.671178614,2.790121035,,,,,,,,,,,,,,,,,,,,
1964,7.248157248,45.76693237,6.314285245,3.549610787,2.708552255,,,,,,,,,,,,,,,,,,,,
1965,7.121303561,42.89129239,6.022955211,3.428660938,2.626454379,,,,,,,,,,,,,,,,,,,,
1966,6.924882629,39.50394665,5.704637719,3.288013491,2.528248647,,,,,,,,,,,,,,,,,,,,
1967,6.731317741,36.60101682,5.437422244,3.17265688,2.448523224,,,,,,,,,,,,,,,,,,,,
1968,6.455142232,33.26773781,5.15368006,3.043739888,2.357434081,,,,,,,,,,,,,,,,,,,,
1969,6.152241919,30.45023589,4.949453596,2.95831508,2.299244354,,,,,,,,,,,,,,,,,,,,
1970,5.844477464,27.98122403,4.787634857,2.895635032,2.261894075,,,,,,,,,,,,,,,,,,,,
1971,5.563413484,25.48575786,4.580956984,2.802446973,2.226292385,,,,,,,,,,,,,,,,,,,,
1972,5.332128333,23.21726619,4.354221193,2.6939783,2.175072835,,,,,,,,,,,,,,,,,,,,
1973,5.055698372,20.50362581,4.055547681,2.537352534,2.080802205,,,,,,,,,,,,,,,,,,,,
1974,4.640188753,17.28899727,3.725925428,2.357000297,1.962143205,,,,,,,,,,,,,,,,,,,,
1975,4.244604317,15.98551566,3.766079114,2.408556017,2.034294827,,,,,,,,,,,,,,,,,,,,
1976,4.023184453,14.66334508,3.644711113,2.356248234,2.01809856,,,,,,,,,,,,,,,,,,,,
1977,3.78812199,13.14412517,3.469826262,2.267285231,1.968257386,,,,,,,,,,,,,,,,,,,,
1978,3.539292142,11.61886554,3.282821839,2.167889694,1.906640139,,,,,,,,,,,,,,,,,,,,
1979,3.268698061,10.11213277,3.093627059,2.064435071,1.838655692,,,,,,,,,,,,,,,,,,,,
1980,2.996444896,8.911267056,2.973946582,2.005223557,1.808378503,,,,,,,,,,,,,,,,,,,,
1981,2.738454398,8.102575646,2.958813429,2.014538066,1.827294759,,,,,,,,,,,,,,,,,,,,
1982,2.578671329,7.680215334,2.978361472,2.047494741,1.867671276,,,,,,,,,,,,,,,,,,,,
1983,2.481598318,7.402420312,2.982924456,2.070308887,1.898880094,,,,,,,,,,,,,,,,,,,,
1984,2.3954527,6.979811314,2.913775469,2.041536938,1.882551319,,,,,,,,,,,,,,,,,,,,
1985,2.321920504,6.62106827,2.851548216,2.01674806,1.869446085,,,,,,,,,,,,,,,,,,,,
1986,2.275795564,6.210478118,2.72892619,1.948025793,1.814989981,,,,,,,,,,,,,,,,,,,,
1987,2.220967438,5.851604069,2.634709527,1.898150098,1.777365418,,,,,,,,,,,,,,,,,,,,
1988,2.145454545,5.496461523,2.561910032,1.86260244,1.752601602,,,,,,,,,,,,,,,,,,,,
1989,2.064380686,5.194183594,2.516097748,1.845893034,1.745172529,,,,,,,,,,,,,,,,,,,,
1990,1.989546451,4.953465724,2.489746204,1.842984635,1.750943194,,,,,,,,,,,,,,,,,,,,
1991,1.924959217,4.826951642,2.507560472,1.880584931,1.787717809,,,,,,,,,,,,,,,,,,,,
1992,1.881977671,4.635059307,2.462866259,1.871044292,1.779668323,,,,,,,,,,,,,,,,,,,,
1993,1.838292569,4.414191248,2.401245222,1.847609225,1.758359504,,,,,,,,,,,,,,,,,,,,
1994,1.799877974,4.168784716,2.316148525,1.804682648,1.718441495,,,,,,,,,,,,,,,,,,,,
1995,1.763036008,3.9778472,2.256248416,1.779976906,1.695815794,,,,,,,,,,,,,,,,,,,,
1996,1.731220657,3.800190032,2.195092819,1.753102097,1.671075922,,,,,,,,,,,,,,,,,,,,
1997,1.701759446,3.615463364,2.124544319,1.717443411,1.637911942,,,,,,,,,,,,,,,,,,,,
1998,1.683309558,3.427608737,2.03623197,1.665878078,1.589516881,,,,,,,,,,,,,,,,,,,,
1999,1.660101294,3.223665084,1.941848425,1.60756706,1.534615986,,,,,,,,,,,,,,,,,,,,
2000,1.622885435,3.023011228,1.862738529,1.560211259,1.491099149,,,,,,,,,,,,,,,,,,,,
2001,1.586234709,2.864425455,1.805801776,1.527206878,1.467135373,,,,,,,,,,,,,,,,,,,,
2002,1.562913907,2.731586582,1.747752432,1.492326454,1.44028382,,,,,,,,,,,,,,,,,,,,
2003,1.532268537,2.594456734,1.693212823,1.45952723,1.415879246,,,,,,,,,,,,,,,,,,,,
2004,1.492348552,2.362804601,1.58327932,1.377641656,1.344576971,,,,,,,,,,,,,,,,,,,,
2005,1.447142507,2.156592913,1.490242255,1.308807383,1.286482082,,,,,,,,,,,,,,,,,,,,
2006,1.403592245,1.999589779,1.424622989,1.262762594,1.248814726,,,,,,,,,,,,,,,,,,,,
2007,1.366531558,1.914597897,1.4010638,1.253273949,1.245442897,,,,,,,,,,,,,,,,,,,,
2008,1.341213912,1.853786852,1.382170909,1.24761415,1.24135461,,,,,,,,,,,,,,,,,,,,
2009,1.332429991,1.885384707,1.4149972,1.28875189,1.278797751,,,,,,,,,,,,,,,,,,,,
2010,1.316670386,1.852711598,1.407118757,1.293019434,1.275170459,,,,,,,,,,,,,,,,,,,,
2011,1.29004045,1.792329215,1.389358926,1.286087967,1.26504256,,,,,,,,,,,,,,,,,,,,
2012,1.266366173,1.739636677,1.373723268,1.28089712,1.255654275,,,,,,,,,,,,,,,,,,,,
2013,1.244857052,1.66353768,1.336328277,1.255058936,1.22781907,,,,,,,,,,,,,,,,,,,,
2014,1.223558689,1.601585349,1.308956703,1.238196945,1.210117884,,,,,,,,,,,,,,,,,,,,
2015,1.212993421,1.562534748,1.28816424,1.227232953,1.19867912,,,,,,,,,,,,,,,,,,,,
2016,1.201506975,1.500565986,1.248903267,1.198268231,1.170511617,,,,,,,,,,,,,,,,,,,,
2017,1.18,1.441373288,1.221502786,1.180232685,1.153722406,,,,,,,,,,,,,,,,,,,,
2018,1.15358295,1.371228305,1.188669011,1.156540396,1.13197417,,,,,,,,,,,,,,,,,,,,
2019,1.134506297,1.318196671,1.161912168,1.138358116,1.115779234,,,,,,,,,,,,,,,,,,,,
2020,1.119438383,1.259864737,1.125443575,1.11023373,1.102286302,,,,,,,,,,,,,,,,,,,,
2021,1.070586101,1.108357256,1.03528082,1.028285151,1.023633845,,,,,,,,,,,,,,,,,,,,
2022,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
