Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL011900,Galveston,1900,LF1,Brazoria County,TX,48039,14861,388181,3070,150595
AL011900,Galveston,1900,LF1,Galveston County,TX,48167,44116,357117,8664,162101
AL011900,Galveston,1900,LF1,Harris County,TX,48201,63786,4780913,12511,1917799
AL011900,Galveston,1900,LF1_Total,Total First ,,,122763,5526211,24245,2230495
AL021915,Galveston,1915,LF1,Brazoria County,TX,48039,16957,388181,"3,737","150,595"
AL021915,Galveston,1915,LF1,Chambers County,TX,48071,4198,"51,288",884,"19,198"
AL021915,Galveston,1915,LF1,Galveston County,TX,48167,48815,"357,117","10,161","162,101"
AL021915,Galveston,1915,LF1,Harris County,TX,48201,151180,"4,780,913","31,514","1,917,799"
AL021915,Galveston,1915,LF1,Matagorda County,TX,48321,15092,"36,125","3,226","19,223"
AL021915,Galveston,1915,LF1_Total,Total First ,,,236242,5613624,"49,522","2,268,916"
AL021919,Florida Keys,1919,LF1,Monroe County,FL,12087,19751.3,81708,3951.7,54862
AL021919,Florida Keys,1919,LF1_Total,Total First ,,,19751.3,81708,3951.7,54862
AL021919,Florida Keys,1919,LF2,Aransas County,TX,48007,2068.2,24944,411.8,16031
AL021919,Florida Keys,1919,LF2,Calhoun County,TX,48057,4593.5,19706,986.1,10863
AL021919,Florida Keys,1919,LF2,Cameron County,TX,48061,35711.6,425208,7112.9,159565
AL021919,Florida Keys,1919,LF2,Kenedy County,TX,48261,0,358,0,196
AL021919,Florida Keys,1919,LF2,Kleberg County,TX,48273,0,30362,0,14024
AL021919,Florida Keys,1919,LF2,Nueces County,TX,48355,22721.8,351674,4710.2,154633
AL021919,Florida Keys,1919,LF2,Refugio County,TX,48391,3926.4,6632,818.4,3378
AL021919,Florida Keys,1919,LF2,San Patricio County,TX,48409,10978.1,69954,2261.1,30506
AL021919,Florida Keys,1919,LF2,Willacy County,TX,48489,0,20143,0,6878
AL021919,Florida Keys,1919,LF2_Total,Total Second,,,,948981,,396074
AL021919,Florida Keys,1919,Total_All,Total All,,,,1030689,,450936
AL071926,Great Miami,1926,LF1,Broward County,FL,12011,14110.4,1947026,3654.6,867215
AL071926,Great Miami,1926,LF1,Collier County,FL,12021,0,397994,0,240238
AL071926,Great Miami,1926,LF1,Monroe County,FL,12087,15994.4,81708,3494.6,54862
AL071926,Great Miami,1926,LF1,Miami-Dade County,FL,12086,102874.2,2673837,24570.2,1095553
AL071926,Great Miami,1926,LF1_Total,Total First ,,,132979,5100565,31719.4,2257868
AL071926,Great Miami,1926,LF2,Baldwin County,AL,01003,25265.4,246435,5670.8,132300
AL071926,Great Miami,1926,LF2,Escambia County,FL,12033,51910.8,324878,11140,149482
AL071926,Great Miami,1926,LF2,Santa Rosa County,FL,12113,13917.8,198268,2920.8,80364
AL071926,Great Miami,1926,LF2_Total,Total Second,,,91094,769581,19731.6,362146
AL071926,Great Miami,1926,Total_All,Total All,,,224073,5870146,51451,2620014
AL041928,Lake Okeechobee,1928,LF1,Broward County,FL,12011,17102.2,1947026,4416.8,867215
AL041928,Lake Okeechobee,1928,LF1,Martin County,FL,12085,0,162006,0,82908
AL041928,Lake Okeechobee,1928,LF1,Palm Beach County,FL,12099,45155.6,1518477,11269.4,720741
AL041928,Lake Okeechobee,1928,LF1,St. Lucie County,FL,12111,7222.8,358704,1843.2,160601
AL041928,Lake Okeechobee,1928,LF1,Miami-Dade County,FL,12086,122914.6,2673837,29402.6,1095553
AL041928,Lake Okeechobee,1928,LF1_Total,Total First ,,,192395.2,6660050,46932,2927018
AL021932,Freeport,1932,LF1,Brazoria County,FL,48039,23857,388181,5308.6,150595
AL021932,Freeport,1932,LF1,Galveston County,FL,48167,67755.4,357117,16368.4,162101
AL021932,Freeport,1932,LF1_Total,Total First ,,,91612.4,745298,21677,312696
AL061933,Chesapeake-Potomac,1933,LF1,Beaufort County,NC,37013,35447.5,44272,7623.7,24539
AL061933,Chesapeake-Potomac,1933,LF1,Bertie County,NC,37015,25951.1,17240,5006.3,8989
AL061933,Chesapeake-Potomac,1933,LF1,Camden County,NC,37029,5454.7,11088,1205.1,4311
AL061933,Chesapeake-Potomac,1933,LF1,Carteret County,NC,37031,17315.2,69380,3846.1,52199
AL061933,Chesapeake-Potomac,1933,LF1,Chowan County,NC,37041,11369,13940,2376,7196
AL061933,Chesapeake-Potomac,1933,LF1,Currituck County,NC,37053,6709.7,31015,1572.4,17179
AL061933,Chesapeake-Potomac,1933,LF1,Dare County,NC,37055,5453.7,37956,1349.6,35267
AL061933,Chesapeake-Potomac,1933,LF1,Hyde County,NC,37095,8343,4576,1836,3167
AL061933,Chesapeake-Potomac,1933,LF1,Pamlico County,NC,37137,9421.1,12381,2030.9,7311
AL061933,Chesapeake-Potomac,1933,LF1,Pasquotank County,NC,37139,19570.5,40938,4294.7,17682
AL061933,Chesapeake-Potomac,1933,LF1,Perquimans County,NC,37143,10399.5,13210,2273.2,6957
AL061933,Chesapeake-Potomac,1933,LF1,Tyrrell County,NC,37177,5281.6,3365,1109.2,2010
AL061933,Chesapeake-Potomac,1933,LF1,Washington County,NC,37187,11819,10828,2353.4,6048
AL061933,Chesapeake-Potomac,1933,LF1,Suffolk city,VA,51800,10592.6,98537,2653.6,40847
AL061933,Chesapeake-Potomac,1933,LF1,Virginia Beach city,VA,51810,0,455618,0,191161
AL061933,Chesapeake-Potomac,1933,LF1_Total,Total First ,,,183128.2,864344,39530.2,424863
AL071935,Yankee,1935,LF1,Broward County,FL,12011,29944,1947026,10561.5,867215
AL071935,Yankee,1935,LF1,Miami-Dade County,FL,12086,205347,2673837,62353.5,1095553
AL071935,Yankee,1935,LF1_Total,Total First ,,,235291,4620863,72915,1962768
AL061938,Great New England,1938,LF1,Fairfield County,CT,09001,412047.6,959768,114134.8,380686
AL061938,Great New England,1938,LF1,Middlesex County,CT,09007,55076.8,164759,16725,76491
AL061938,Great New England,1938,LF1,New Haven County,CT,09009,480142.6,863700,133517.4,370802
AL061938,Great New England,1938,LF1,New London County,CT,09011,123972.4,268805,36380.4,123392
AL061938,Great New England,1938,LF1,Essex County,NJ,34013,836574.6,849477,208293.2,336552
AL061938,Great New England,1938,LF1,Hudson County,NJ,34017,659778,703366,162193,319636
AL061938,Great New England,1938,LF1,Middlesex County,NJ,34023,216103.2,861418,52715,317338
AL061938,Great New England,1938,LF1,Monmouth County,NJ,34025,158432.2,644098,56216.8,270238
AL061938,Great New England,1938,LF1,Union County,NJ,34039,323717,569815,81987.4,211919
AL061938,Great New England,1938,LF1,Bronx County,NY,36005,1368820.4,1379946,327623.4,558005
AL061938,Great New England,1938,LF1,Kings County,NY,36047,2670708.2,2590516,659063,1101441
AL061938,Great New England,1938,LF1,Nassau County,NY,36059,386009,1383726,116514,479297
AL061938,Great New England,1938,LF1,New York County,NY,36061,1885401.6,1596273,505149.2,923302
AL061938,Great New England,1938,LF1,Queens County,NY,36081,1253933,2278029,349362,911957
AL061938,Great New England,1938,LF1,Richmond County,NY,36085,171222,491133,44971.8,184530
