Name,Year,Landfall Code,2022 Popualtion Multiplier,2022 Housing Unit Multiplier
Galveston,1900,LF1,12.64,26.65
Galveston,1915,LF1,25.47,49.12
Florida Keys,1919,LF1,4.14,13.88
Florida Keys,1919,LF2,16.83,35.85
Great Miami,1926,LF1,23.18,40.99
Great Miami,1926,LF2,7.40,16.76
Lake Okeechobee,1928,LF1,58.27,106.52
Freeport,1932,LF1,8.14,14.43
Chesapeake-Potomac,1933,LF1,2.54,7.00
Yankee,1935,LF1,19.64,26.92
Great New England,1938,LF1,3.22,4.19
Cuba Florida,1944,LF1,10.61,14.77
Cuba Florida,1944,DIL1,2.66,4.91
Great Atlantic,1944,LF1,2.35,3.14
Homestead,1945,LF1,6.83,8.10
Fort Lauderdale,1947,LF1,10.20,11.94
Fort Lauderdale,1947,LF2,2.84,4.33
Florida,1949,LF1,18.17,20.12
Carol,1954,LF1,2.98,3.38
Carol,1954,ID1,2.51,4.20
Hazel,1954,LF1,6.47,12.32
Donna,1960,LF1,7.53,13.02
Donna,1960,LF2,2.88,5.22
Donna,1960,LF3,1.39,1.68
Carla,1961,LF1,1.31,1.96
Cleo,1964,LF1,4.77,2.80
Dora,1964,LF1,10.04,12.00
Betsy,1965,LF1,5.78,3.22
Betsy,1965,LF2,1.51,2.39
Camille,1969,LF1,2.65,3.33
Camille,1969,ID1,1.27,1.86
Camille,1969,DIL1,1.98,2.64
Camille,1969,DIL2,1.48,2.12
Camille,1969,DIL3,1.01,1.45
Celia,1970,LF1,1.51,2.13
Agnes,1972,LF1,2.73,4.18
Agnes,1972,LF2,1.26,1.50
Agnes,1972,LF3,1.08,1.29
Agnes,1972,DIL1,2.27,2.87
Agnes,1972,DIL2,1.17,1.51
Agnes,1972,DIL3,2.02,2.77
Agnes,1972,DIL4,1.09,1.43
Agnes,1972,ID1,1.82,2.33
Agnes,1972,ID2,0.99,1.37
Agnes,1972,ID3,1.09,1.47
Agnes,1972,ID4,1.52,1.96
Eloise,1975,LF1,2.28,3.46
Frederic,1979,LF1,1.44,1.89
Alicia,1983,LF1,1.88,2.05
Hugo,1989,LF1,1.42,1.73
Andrew,1992,LF1,1.34,1.39
Andrew,1992,LF2,0.97,1.21
Opal,1995,LF1,1.54,1.66
Fran,1996,LF1,2.06,1.90
Floyd,1999,LF1,1.92,1.75
Allison,2001,LF1,1.38,1.45
Isabel,2003,LF1,1.07,1.16
Charley,2004,LF1,1.61,1.50
Charley,2004,LF2,1.23,1.34
Frances,2004,LF1,1.28,1.22
Ivan,2004,LF1,1.15,1.21
Jeanne,2004,LF1,1.28,1.22
Katrina,2005,LF1,1.11,1.14
Katrina,2005,LF2,0.93,0.98
Rita,2005,LF1,1.00,1.06
Wilma,2005,LF1,1.25,1.26
Gustav,2008,LF1,0.99,1.10
Ike,2008,LF1,1.20,1.22
