Storm ID,Storm #,Year and Name,"Muller et al., 2022 PL","Weinkle et al., PL17","Muller et al., CL22","Weinkle et al., CL17",,,,,,,,
AL122007,1,2005 Katrina,221,116.9,229 ,118.8,,,,,,,,
AL071926,2,1926 Great Miami,208,235.9,179 ,208.3,,,,,,,,
AL092017,3,2017  Harvey,165,62.2,161 ,62.1,,,,,,,,
AL021915,4,1915 Galveston,160,109.8,138 ,102,,,,,,,,
AL041928,5,1928  Lake Okeechobee,139,54.4,129 ,51.2,,,,,,,,
AL041992,6,1992 Andrew,116,106,116 ,103.9,,,,,,,,
AL092022,7,2022 Ian,113,N/A,113 ,N/A,,,,,,,,
AL182012,8,2012 Sandy,104,73.5,106 ,72.8,,,,,,,,
AL051960,9,1960 Donna,72,48.4,93 ,54.9,,,,,,,,
AL141954,10,1954  Hazel,66,33.2,92 ,48.5,,,,,,,,
AL061938,11,1938  Great New England,111,57.8,90 ,54.7,,,,,,,,
AL092021,12,2021 Ida,81,N/A,83 ,N/A,,,,,,,,
AL112017,13,2017  Irma,74,31,75 ,31,,,,,,,,
AL091969,14,1969 Camille,69,25.9,67 ,31.6,,,,,,,,
AL031965,15,1965 Betsy,64,20.5,64 ,27.2,,,,,,,,
AL092008,16,2008  Ike,60,35.2,61 ,34.7,,,,,,,,
AL061964,17,1964  Dora,65,12.3,59 ,10.9,,,,,,,,
AL011900,18,1900 Galveston,58,138.6,53 ,130.2,,,,,,,,
AL131944,19,1944  Cuba-Florida,53,73.5,52 ,71.2,,,,,,,,
AL092004,20,2004  Ivan,48,26.4,50 ,26.9,,,,,,,,
AL032004,21,2004 Charley,53,26.9,48 ,27.5,,,,,,,,
AL252005,22,2005  Wilma,45,31.9,44 ,31.9,,,,,,,,
AL111989,23,1989  Hugo,38,25.1,44 ,29.2,,,,,,,,
AL061954,24,1954 Carol,50,23.5,41 ,22.1,,,,,,,,
AL182005,25,2005  Rita,35,14.9,36 ,14.8,,,,,,,,
AL021949,26,1949  Florida,45,24.2,35 ,22.5,,,,,,,,
AL021919,27,1919 Florida Keys,40,17.8,35 ,20.7,,,,,,,,
AL021972,28,1972 Agnes,33,26,34 ,26.9,,,,,,,,
AL062018,29,2018 Florence,34,N/A,34 ,N/A,,,,,,,,
AL142018,30,2016 Michael,32,N/A,33 ,N/A,,,,,,,,
AL081999,31,1999  Floyd,33,13.9,29 ,13.7,,,,,,,,
AL031983,32,1983  Alicia,29,13.6,29 ,12.8,,,,,,,,
