Storm ID,Year,Storm Name,Landfall ID,Losses 2022 PL05 US$B,Losses 2022 CL05 US$B
AL011900,1900,Galveston,LF1,206.99,184.51
AL021915,1915,Galveston,LF1,156.69,136.59
AL021919,1919,Florida Keys,LF1,0.96,1.46
AL021919,1919,Florida Keys,LF2,27.40,25.55
AL071926,1926,Great Miami,LF1,305.25,268.10
AL071926,1926,Great Miami,LF2,25.66,26.38
AL041928,1928,Lake Okeechobee,LF1,87.46,75.45
AL021932,1932,Freeport,LF1,8.43,7.79
AL061933,1933,Chesapeake-Potomac,LF1,24.96,30.61
AL071935,1935,Yankee,LF1,13.91,10.93
AL061938,1938,Great New England,LF1,58.83,58.66
AL131944,1944,Cuba-Florida,DIL1,6.74,8.44
AL131944,1944,Cuba-Florida,LF1,50.01,46.63
AL071944,1944,Great Atlantic,LF1,15.54,14.43
AL091945,1945,Homestead,LF1,26.45,21.44
AL041947,1947,Fort Lauderdale,LF1,16.20,13.14
AL041947,1947,Fort Lauderdale,LF2,7.33,8.07
AL021949,1949,Florida,LF1,44.88,35.04
AL061954,1954,Carol,ID1,0.02,0.03
AL061954,1954,Carol,LF1,31.57,29.40
AL141954,1954,Hazel,LF1,46.79,62.11
AL051960,1960,Donna,LF3,1.08,1.00
AL051960,1960,Donna,LF2,4.84,6.53
AL051960,1960,Donna,LF1,33.01,30.77
AL031961,1961,Carla,LF1,19.23,20.78
AL051964,1964,Cleo,LF1,14.59,8.46
AL061964,1964,Dora,LF1,64.20,58.88
AL031965,1965,Betsy,LF1,19.55,8.39
AL031965,1965,Betsy,LF2,28.61,33.54
AL091969,1969,Camille,ID1,7.39,8.50
AL091969,1969,Camille,LF1,29.15,33.11
AL091969,1969,Camille,DIL3,0.01,0.02
AL091969,1969,Camille,DIL1,5.00,5.22
AL091969,1969,Camille,DIL2,0.21,0.24
AL041970,1970,Celia,LF1,10.90,12.22
AL021972,1972,Agnes,LF3,10.88,10.47
AL021972,1972,Agnes,DIL4,33.12,35.25
AL021972,1972,Agnes,LF1,0.26,0.31
AL021972,1972,Agnes,DIL1,0.01,0.01
AL021972,1972,Agnes,DIL2,0.00,0.00
AL021972,1972,Agnes,DIL3,0.19,0.21
AL021972,1972,Agnes,ID1,3.28,3.40
AL021972,1972,Agnes,ID2,0.11,0.12
AL021972,1972,Agnes,ID3,0.11,0.12
AL021972,1972,Agnes,LF2,0.27,0.26
AL021972,1972,Agnes,ID4,2.41,2.51
AL131975,1975,Eloise,LF1,10.46,12.63
AL111979,1979,Frederic,LF1,21.87,25.52
AL031983,1983,Alicia,LF1,28.68,28.98
AL111989,1989,Hugo,LF1,47.39,55.34
AL041992,1992,Andrew,LF2,3.61,4.15
AL041992,1992,Andrew,LF1,120.66,119.91
AL171995,1995,Opal,LF1,19.43,20.84
AL061996,1996,Fran,LF1,26.69,25.73
AL081999,1999,Floyd,LF1,29.44,27.89
AL012001,2001,Allison,LF1,27.88,28.01
AL132003,2003,Isabel,LF1,14.07,14.61
AL032004,2004,Charley,LF1,52.80,48.02
AL032004,2004,Charley,LF2,0.95,1.01
AL062004,2004,Frances,LF1,24.19,23.05
AL092004,2004,Ivan,LF1,49.51,50.51
AL112004,2004,Jeanne,LF1,18.68,18.41
AL122005,2005,Katrina,LF2,218.89,226.95
AL122005,2005,Katrina,LF1,5.34,5.30
AL182005,2005,Rita,LF1,37.91,38.22
AL252005,2005,Wilma,LF1,41.74,41.91
AL072008,2008,Gustav,LF1,9.73,10.52
AL092008,2008,Ike,LF1,60.36,60.99
AL092011,2011,Irene,LF1,24.86,25.13
AL182012,2012,Sandy,LF1,50.63,50.16
AL182012,2012,Sandy,ID2,0.59,0.59
AL182012,2012,Sandy,ID1,53.44,54.80
AL142016,2016,Matthew,LF1,15.98,15.52
AL092017,2017,Harvey,LF1,170.29,174.49
AL112017,2017,Irma,LF1,76.04,75.93
AL062018,2018,Florence,LF1,33.56,33.60
AL142018,2018,Michael,DIL2,1.52,1.48
AL142018,2018,Michael,DIL1,6.49,6.44
AL142018,2018,Michael,LF1,24.21,24.87
AL132020,2020,Laura,ID2,0.27,0.27
AL132020,2020,Laura,DIL1,0.27,0.27
AL132020,2020,Laura,ID1,1.26,1.25
AL132020,2020,Laura,ID3,0.06,0.06
AL132020,2020,Laura,LF1,19.12,20.69
AL192020,2020,Sally,LF1,9.27,9.26
AL092021,2021,Ida,DIL3,9.03,9.09
AL092021,2021,Ida,DIL2,3.30,3.31
AL092021,2021,Ida,LF1,59.41,60.55
AL092021,2021,Ida,DIL1,9.93,9.88
AL092022,2022,Ian,LF1,109.50,109.50
AL092022,2022,Ian,LF2,3.40,3.40
