Storm Rank,Storm ID,Storm Year and Name,Muller et al PL22 US$B,Weinkle 2018 PL05 US$B,Muller et al CL22 US$B,Weinkle 2018 CL05 US$B,
1,AL122005,2005 Katrina,226.21,117,234.11,119,
2,AL071926,1926 Great Miami,206.97,236,178.48,208,
3,AL092017,2017 Harvey,164.70,62,161.12,62,
4,AL021915,1915 Galveston,158.25,110,138.06,102,
5,AL041928,1928 Lake Okeechobee,147.20,54,128.86,51,
6,AL041992,1992 Andrew,125.16,106,125.09,104,
7,AL092022,2022 Ian,112.90,N/A,112.90,N/A,
8,AL182012,2012 Sandy,104.19,74,104.47,73,
9,AL061938,1938 Great New England,126.18,58,102.45,55,
10,AL051960,1960 Donna,71.84,48,93.39,55,
11,AL141954,1954 Hazel,66.11,33,91.60,49,
12,AL092021,2021 Ida,81.88,N/A,82.83,N/A,
13,AL112017,2017 Irma,74.17,31,74.98,31,
14,AL031965,1965 Betsy,63.52,21,62.11,27,
15,AL092008,2008 Ike,60.48,35,61.10,35,
16,AL061964,1964 Dora,64.20,12,58.88,11,
17,AL091969,1969 Camille,58.16,26,58.67,32,
18,AL111989,1989 Hugo,48.33,25,56.09,29,
19,AL011900,1900 Galveston,58.11,139,53.45,130,
20,AL021972,1972 Agnes,50.70,26,52.75,27,
21,AL131944,1944 Cuba-Florida,52.49,74,51.67,71,
22,AL092004,2004 Ivan,48.38,26,49.92,27,
23,AL032004,2004 Charley,53.75,27,49.02,28,
24,AL252005,2005 Wilma,45.08,32,44.44,32,
25,AL061954,1954 Carol,49.82,24,41.16,22,
26,AL021919,1919 Florida Keys,39.83,18,39.16,21,
27,AL182005,2005 Rita,35.04,15,36.34,15,
28,AL021949,1949 Florida,44.60,24,34.69,23,
29,AL062018,2018 Florence,33.56,N/A,33.60,N/A,
30,AL142018,2016 Michael,32.21,N/A,32.80,N/A,
31,AL081999,1999 Floyd,32.62,14,29.06,14,
32,AL031983,1983 Alicia,28.68,14,28.98,13,
33,AL012001,2001 Allison,28.48,N/A,28.63,N/A,
34,AL061996,1996 Fran,30.73,11,27.53,11,
35,AL111979,1979 Frederic,22.19,16,26.16,19,
36,AL041947,1947 Fort Lauderdale,27.54,24,25.13,22,
37,AL092011,2011 Irene,23.23,11,24.50,11,
38,AL062004,2004 Frances,25.74,17,23.97,17,
39,AL171995,1995 Opal,22.50,10,23.32,11,
40,AL132020,2020 Laura,20.98,N/A,22.54,N/A,
41,AL091945,1945 Homestead,26.45,19,21.44,17,
42,AL061933,1933 Chesapeake-Potomac,13.42,13,19.95,16,
43,AL112004,2004 Jeanne,19.70,14,18.34,14,
44,AL031961,1961 Carla,15.83,25,17.94,23,
45,AL142016,2016 Matthew,15.17,9,15.84,9,
46,AL131975,1975 Eloise,11.55,8,14.95,11,
47,AL071944,1944 Great Atlantic,16.13,20,14.63,18,
48,AL132003,2003 Isabel,13.19,N/A,13.80,N/A,
49,AL041970,1970 Celia,11.53,8,12.80,9,
50,AL072008,2008 Gustav,9.95,N/A,10.99,N/A,
51,AL071935,1935 Yankee,13.91,10,10.93,9,
52,AL192020,2020 Sally,9.40,N/A,9.38,N/A,
53,AL021932,1932 Freeport,8.43,12,7.79,11,
54,AL051964,1964 Cleo,15.24,8,6.88,7,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
