Year,Inflation Adjustment,Real Wealth Adjustment (Pop),Real Wealth Adjustment (HU),Pop Adjust,Housing Units Adjust,PL Normalization,CL Normalization,,,,,
1983,1.0,1.00,1.00,1.00,1.00,,,,,,,
1984,1.0,1.01,1.01,,,,,,,,,
1985,1.1,1.03,1.02,1.01,1.04,3334084193.54,3387507554.57,,,,,
1986,1.1,1.06,1.05,,,,,,,,,
1987,1.1,1.09,1.07,,,,,,,,,
1988,1.2,1.11,1.08,,,,,,,,,
1989,1.2,1.12,1.09,,,,,,,,,
1990,1.2,1.12,1.08,1.03,1.14,4345814058.41,4628132550.54,,,,,
1991,1.3,1.10,1.06,,,,,,,,,
1992,1.3,1.11,1.07,,,,,,,,,
1993,1.3,1.12,1.08,,,,,,,,,
1994,1.4,1.15,1.11,,,,,,,,,
1995,1.4,1.16,1.12,1.14,1.24,5576577246.31,5851688884.91,,,,,
1996,1.4,1.18,1.14,,,,,,,,,
1997,1.5,1.21,1.16,,,,,,,,,
1998,1.5,1.24,1.19,,,,,,,,,
1999,1.5,1.29,1.24,,,,,,,,,
2000,1.5,1.33,1.27,1.24,1.33,7563437657.21,7797108969.93,,,,,
2001,1.6,1.36,1.29,,,,,,,,,
2002,1.6,1.39,1.32,,,,,,,,,
2003,1.6,1.42,1.34,,,,,,,,,
2004,1.7,1.50,1.41,,,,,,,,,
2005,1.7,1.58,1.48,1.38,1.50,11230457550.67,11405306348.02,,,,,
2006,1.8,1.64,1.52,,,,,,,,,
2007,1.8,1.65,1.52,,,,,,,,,
2008,1.9,1.66,1.53,,,,,,,,,
2009,1.9,1.61,1.48,,,,,,,,,
2010,1.9,1.60,1.49,1.52,1.64,13768074283.14,13846044297.87,,,,,
2011,1.9,1.61,1.50,,,,,,,,,
2012,2.0,1.62,1.51,,,,,,,,,
2013,2.0,1.65,1.55,,,,,,,,,
2014,2.0,1.67,1.57,,,,,,,,,
2015,2.0,1.69,1.58,1.68,1.79,17358264757.38,17374920812.71,,,,,
2016,2.1,1.73,1.62,,,,,,,,,
2017,2.1,1.75,1.65,,,,,,,,,
2018,2.2,1.79,1.68,,,,,,,,,
2019,2.2,1.82,1.70,,,,,,,,,
2020,2.2,1.86,1.72,1.82,1.96,22621652771.50,22459754364.93,,,,,
2021,2.3,2.01,1.86,,,,,,,,,
2022,2.5,2.07,1.90,1.88,2.05,28900604870.14,28981264998.82,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
