Storm ID,Storm Name,Base Economic Damage,LF_Date,LF_wind,LF_pressure,LF_state,LF_lat,LF_lon,2022 Updates,Reference for Update
,,,,,,,,,,
AL011900,Galveston,"30,000,000.00",9/9/1900,120,936,TX,29.17,-95.2,,
AL041901,Storm 4 in 1901,"1,000,000.00",8/14/1901,75,973,LA,29.27,-89.63,,
AL031903,Florida,"670,000.00",9/11/1903,75,976,FL,26.1,-80.1,,
AL031903,Florida,0,9/13/1903,80,988,FL,29.8,-85.46,,
AL021904,Storm 2 in 1904,"1,000,000.00",9/14/1904,70,,SC,33.27,-79.28,,
AL061906,Storm 6 in 1906,"4,000,000.00",9/27/1906,95,958,MS,30.4,-88.7,,
AL081906,Storm 8 in 1906,"200,000.00",10/18/1906,105,953,FL,25.15,-80.8,,
AL041909,Valasco,"2,000,000.00",7/21/1909,100,960,TX,28.9,-95.3,,
AL091909,Grand Isle,"5,000,000.00",9/21/1909,100,952,LA,29.5,-91.3,,
AL111909,Storm 10 in 1909,"1,000,000.00",10/11/1909,100,957,FL,25.11,-80.3,,
AL051910,Storm 5 in 1910,"500,000.00",10/18/1910,100,955,FL,26.5,-82,,
AL031911,Storm 3 in 1911,"1,000,000.00",8/28/1911,85,972,SC,32.2,-80.7,,
AL041913,Storm 4 in 1913,"3,000,000.00",9/3/1913,75,976,NC,34.75,-76.74,,
AL021915,Galveston,"50,000,000.00",8/17/1915,115,940,TX,29.2,-95.1,,
AL061915,New Orleans,"13,000,000.00",9/29/1915,112,945,LA,29.27,-90.3,,
AL021916,Gulf Coast,"3,000,000.00",7/5/1916,105,950,AL,30.4,-88.4,,
AL061916,Storm 6 in 1916,"1,800,000.00",8/18/1916,115,934,TX,27.05,-97.5,,
AL011918,Storm 1 in 1918,"5,000,000.00",8/6/1918,105,955,LA,29.8,-93.2,,
AL021919,Florida Keys,"2,000,000.00",9/9/1919,127,927,FL,24.09,-81.23,,
AL021919,Florida Keys,"20,000,000.00",9/14/1919,100,950,TX,27.27,-97.53,,
AL021920,Storm 2 in 1920,"1,450,000.00",9/22/1920,85,976,LA,29.23,-90.87,,
AL061921,Tampa Bay,"3,000,000.00",10/25/1921,100,958,FL,28.1,-82.8,,
AL011926,Storm 1 in 1926,"3,051,000.00",7/28/1926,90,967,FL,28.56,-80.53,,
AL031926,Storm 3 in 1926,"7,000,000.00",8/25/1926,100,955,LA,29.14,-90.89,,
AL071926,Great Miami,"76,000,000.00",9/18/1926,125,930,FL,25.6,-80.3,,
AL071926,Great Miami,"29,000,000.00",9/20/1926,100,955,AL,30.3,-87.43,,
AL041928,Lake Okeechobee,"25,000,000.00",9/17/1928,127,929,FL,26.7,-80,,
AL011929,Storm 1 in 1929,"675,000.00",6/28/1929,80,983,TX,28.38,-96.52,,
AL021929,Storm 2 in 1929,"100,000.00",9/28/1929,100,949,FL,25.09,-80.75,,
AL021929,Storm 2 in 1929,"200,000.00",10/1/1929,70,975,FL,30.16,-85.75,,
AL021932,Freeport,"7,500,000.00",8/14/1932,130,935,TX,29,-95.2,,
AL061933,Storm 8 in 1933,"40,000,000.00",8/23/1933,81,965,NC,35.95,-75.7,Damage ,"Cobb III, H. D., 1991: The Chesapeake-Potomac Hurricane of 1933, Weatherwise, 44:4, 24-29, https://doi.org/10.1080/00431672.1991.9929376 "
AL111933,Storm 12 in 1933,"1,000,000.00",9/4/1933,110,948,FL,26.9,-80.1,,
AL081933,Storm 11 in 1933,"16,900,000.00",9/5/1933,110,940,TX,26.1,-97.28,,
AL121933,Storm 13 in 1933,"4,750,000.00",9/16/1933,90,953,NC,35.57,-75.27,,
AL011934,Storm 2 in 1934,"2,605,000.00",6/16/1934,85,966,LA,29.7,-91.7,,
AL031934,Storm 3 in 1934,"1,500,000.00",7/25/1934,75,979,TX,28.1,-97,,
AL031935,Labor Day,"5,000,000.00",9/3/1935,160,899,FL,25.15,-81.14,,
AL031935,Labor Day,"1,000,000.00",9/4/1935,85,965,FL,29.68,-83.4,,
AL071935,Yankee,"5,500,000.00",11/4/1935,85,973,FL,25.9,-80.1,,
AL031936,Storm 3 in 1936,"550,000.00",6/27/1936,70,987,TX,28,-97.15,,
AL051936,Storm 5 in 1936,"123,000.00",7/31/1936,90,964,FL,30.4,-86.6,,
AL131936,Storm 13 in 1936,"1,600,000.00",9/18/1936,85,965,NC,35.9,-74.8,,
AL031938,Storm 2 in 1938,"245,000.00",8/15/1938,65,,LA,29.8,-93.4,,
AL061938,Great New England,"306,000,000.00",9/21/1938,105,941,Nth Atlantic States,40.7,-72.9,States,"Sumner, H.C. 1944: North Atlantic Hurricanes and Tropical Disturbances of 1944, Monthly Weather Review, Weather Bureau Washington DC, December 1944. Vol 72, No.12, W.B. No 1429"
AL021940,Storm 2 in 1940,"9,000,000.00",8/7/1940,85,972,TX,29.68,-94.05,,
AL031940,Storm 3 in 1940,"7,000,000.00",8/11/1940,85,973,SC,32.11,-80.88,,
AL021941,Storm 2 in 1941,"7,000,000.00",9/23/1941,110,989,TX,28.8,-95.6,,
AL051941,Storm 5 in 1941,"337,500.00",10/6/1941,85,987,FL,25.5,-80.3,,
AL051941,Storm 5 in 1941,"337,500.00",10/7/1941,80,982,FL,29.9,-84.6,,
AL021942,Storm 1 in 1942,"601,000.00",8/21/1942,67,,TX,29.55,-94.65,,
AL031942,Matagorda,"26,500,000.00",8/30/1942,100,950,TX,28.38,-96.7,,
AL011943,Storm 1 in 1943,"16,550,000.00",7/27/1943,90,967,TX,29.5,-94.6,,
AL031944,Storm 3 in 1944,"2,000,000.00",8/1/1944,70,985,NC,33.9,-78.1,,
AL071944,Great Atlantic,"10,000,000.00",9/14/1944,105,943,NC,35.72,-75.14,,
AL071944,Great Atlantic,"90,000,000.00",9/15/1944,90,954,Nth Atlantic States,40.9,-72.2,States,"Sumner, H.C. 1944: North Atlantic Hurricanes and Tropical Disturbances of 1944, Monthly Weather Review, Weather Bureau Washington DC, December 1944. Vol 72, No.12, W.B. No 1429"
AL131944,Cuba-Florida,"63,000,000.00",10/19/1944,95,962,FL,27.2,-82.5,,
AL131944,Cuba-Florida,"37,000,000.00",10/19/1944,60,979,SC,30.74,-81.5,,
AL051945,Storm 5 in 1945,"20,000,000.00",8/27/1945,100,964,TX,28.41,-96.49,,
AL091945,Homestead,"60,000,000.00",9/15/1945,115,949,FL,25.3,-80.3,,
AL061946,Storm 5 in 1946,"5,200,000.00",10/8/1946,75,980,FL,27.5,-82.6,,
AL071946,Storm 6 in 1946,"7,000,000.00",11/1/1946,40,1002,FL,26.52,-80.02,,
AL031947,Storm 3 in 1947,"200,000.00",8/24/1947,70,984,TX,29.23,-94.93,,
AL041947,Storm 4 in 1947,"31,000,000.00",9/17/1947,115,943,FL,26.1,-80.1,,
AL041947,Storm 4 in 1947,"79,000,000.00",9/19/1947,95,966,LA,29.66,-89.64,,
AL061947,Storm 6 in 1947,"100,000.00",9/23/1947,55,987,FL,28.88,-82.71,,
AL071947,Storm 7 in 1947,"100,000.00",10/7/1947,50,,FL,30.8,-81.5,,
AL091947,Storm 8 in 1947,"20,000,000.00",10/12/1947,80,975,FL,25.45,-81.09,,
AL091947,Storm 8 in 1947,"3,000,000.00",10/15/1947,90,966,GA,31.79,-81.26,,
AL051948,Storm 5 in 1948,"900,000.00",9/4/1948,70,984,LA,29.27,-90.4,,
AL081948,Storm 7 in 1948,"12,000,000.00",9/22/1948,115,940,FL,25.8,-81.3,,
AL091948,Storm 8 in 1948,"5,500,000.00",10/5/1948,90,980,FL,25.19,-80.82,,
AL021949,Storm 2 in 1949,"52,000,000.00",8/26/1949,115,954,FL,26.6,-80.05,,
AL111949,Storm 10 in 1949,"6,700,000.00",10/4/1949,95,965,TX,28.8,-95.6,,
AL051950,Easy,"3,300,000.00",9/4/1950,85,973,FL,27.7,-83.5,,
AL111950,King,"28,000,000.00",10/18/1950,115,955,FL,25.7,-80.2,,
AL091951,How,"2,000,000.00",10/2/1951,55,993,FL,26.75,-82,,
AL021952,Able,"2,750,000.00",8/31/1952,85,983,SC,32.3,-80.6,,
AL031953,Barbara,"1,000,000.00",8/14/1953,80,981,NC,35.4,-76.1,,
AL091953,Florence,"200,000.00",9/26/1953,80,968,FL,30.43,-86.17,,
AL061954,Carol,"227,500.00",8/31/1954,97,959,NC,34.56,-75.77,,
AL061954,Carol,"460,000,000.00",8/31/1954,100,955,Nt Atlantic States,40.9,-72.2,States,"Davis, W.R. Hurricanes of 1954, Monthly Weather Review, Weather Bureau Office Miami, Fla. December 1954."
AL081954,Edna,"40,000,000.00",9/11/1954,97,952,MA,41.7,-70.3,,
AL141954,Hazel,"281,000,000.00",10/15/1954,115,938,SC,33.9,-78.6,,
AL021955,Connie,"40,000,000.00",8/12/1955,85,962,NC,34.8,-76.67,,
AL031955,Diane,"200,000,000.00",8/17/1955,62,985,NC,34.08,-77.94,,
AL031955,Diane,"600,000,000.00",8/19/1955,40,1000,NY,40.54,-74.26,,
AL081955,Ione,"88,035,000.00",9/19/1955,92,955,NC,34.75,-76.7,,
AL071956,Flossy,"25,000,000.00",9/24/1956,80,974,LA,30.36,-86.5,,
AL021957,Audrey,"150,000,000.00",6/27/1957,110,946,TX,29.8,-93.7,,
AL061957,Esther,"1,500,000.00",9/18/1957,55,1001,LA,29.2,-90.9,,
AL081958,Helene,"11,200,000.00",9/27/1958,120,938,NC,33.77,-77.79,,
AL011959,Arlene,"500,000.00",5/30/1959,55,993,LA,29.65,-91.6,,
AL031959,Not Named 1959,"1,656,000.00",6/18/1959,40,1002,FL,28,-82.8,,
AL051959,Debra,"7,000,000.00",7/25/1959,75,980,TX,29.1,-95.2,,
AL081959,Gracie,"14,000,000.00",9/29/1959,115,951,SC,32.5,-80.5,,
AL011960,Not Named 1960,"3,600,000.00",6/24/1960,50,1000,TX,27.13,-97.48,,
AL031960,Brenda,"5,000,000.00",7/29/1960,45,1000,FL,29.7,-83.5,,
AL051960,Donna,"300,000,000.00",9/10/1960,125,936,FL,25.14,-81.19,,
AL051960,Donna,"56,500,000.00",9/12/1960,90,959,NC,34.73,-77.15,,
AL051960,Donna,"30,000,000.00",9/12/1960,85,961,NY,41,-72.65,,
AL061960,Ethel,"1,060,000.00",9/15/1960,70,980,MS,30.4,-89,,
AL031961,Carla,"425,000,000.00",9/11/1961,125,937,TX,28.38,-96.66,Damage ,"US Department of Commerce, Climatological Data, Annual 1961, Vol 12, #13, Asheville, 1962"
AL051961,Esther,"6,000,000.00",9/21/1961,105,983,MA,40.94,-70.44,,
AL011962,Alma,"1,000,000.00",8/28/1962,65,991,NC,34.53,-76.1,,
AL041962,Daisy,"1,100,000.00",10/8/1962,65,975,ME,43.61,-66.26,,
AL041963,Cindy,"12,560,000.00",9/17/1963,65,997,TX,29.56,-94.41,,
AL031964,Abby,"750,000.00",8/7/1964,55,1000,TX,28.72,-95.7,,
AL051964,Cleo,"128,500,000.00",8/27/1964,90,970,FL,26.1,-80.12,,
AL061964,Dora,"250,000,000.00",9/10/1964,97,966,FL,29.88,-81.28,,
AL101964,Hilda,"125,000,000.00",10/4/1964,97,959,LA,29.66,-91.57,,
AL111964,Isbell,"10,000,000.00",10/14/1964,110,970,FL,25.73,-81.35,,
AL031965,Betsy,"139,300,000.00",9/8/1965,110,951,FL,25.14,-81.07,,
AL031965,Betsy,"1,280,500,000.00",9/10/1965,135,946,LA,29.27,-90.32,,
AL051965,Debbie,"25,000,000.00",9/30/1965,30,1004,MS,30,-88.9,,
AL011966,Alma,"10,050,000.00",6/9/1966,80,980,FL,29.91,-84.5,,
AL091966,Inez,"5,000,000.00",10/4/1966,75,984,FL,25.03,-80.43,,
AL131967,Beulah,"200,000,000.00",9/20/1967,140,931,TX,25.53,-97.01,,
AL011968,Abby,"450,000.00",6/4/1968,57,992,FL,26.81,-82.17,,
AL031968,Candy,"3,000,000.00",6/23/1968,60,999,TX,27.98,-97.1,,
AL141968,Gladys,"6,700,000.00",10/19/1968,70,978,FL,28.78,-82.62,,
AL091969,Camille,"1,421,000,000.00",8/18/1969,150,900,LA,30.3,-89.4,,
AL041970,Celia,"454,000,000.00",8/3/1970,110,948,TX,27.85,-97.17,,
AL091971,Doria,"147,350,000.00",8/27/1971,55,989,NC,34.94,-76.78,,
AL111971,Fern,"30,230,000.00",9/10/1971,60,979,TX,28.34,-96.42,,
AL131971,Edith,"25,000,000.00",9/16/1971,85,978,LA,29.66,-92.85,,
AL141971,Ginger,"10,000,000.00",9/30/1971,62,990,NC,34.68,-76.92,,
AL021972,Agnes,"100,000,000.00",6/19/1972,65,984,FL,30.07,-85.43,,
AL021972,Agnes,"2,000,000,000.00",6/22/1972,57,980,NY,40.61,-73.65,,
AL111972,Carrie,"1,780,000.00",9/4/1972,50,998,MA,44.64,-67.58,,
