Year,USA Population,Population Multiplier,,,,,,,,,,,,,,,,,,,,,,,
,(Census decadal data interploated),2022 Pop/population,,,,,,,,,,,,,,,,,,,,,,,
1900,76803387,4.37,* Between census years data is interpolated,,,,,,,,,,,,,,,,,,,,,,
1901,78345901,4.29,,,,,,,,,,,,,,,,,,,,,,,
1902,79888416,4.21,,,,,,,,,,,,,,,,,,,,,,,
1903,81430930,4.13,,,,,,,,,,,,,,,,,,,,,,,
1904,82973445,4.05,,,,,,,,,,,,,,,,,,,,,,,
1905,84515959,3.98,,,,,,,,,,,,,,,,,,,,,,,
1906,86058473,3.90,,,,,,,,,,,,,,,,,,,,,,,
1907,87600988,3.84,,,,,,,,,,,,,,,,,,,,,,,
1908,89143502,3.77,,,,,,,,,,,,,,,,,,,,,,,
1909,90686017,3.70,,,,,,,,,,,,,,,,,,,,,,,
1910,92228531,3.64,,,,,,,,,,,,,,,,,,,,,,,
1911,93607835,3.59,,,,,,,,,,,,,,,,,,,,,,,
1912,94987138,3.54,,,,,,,,,,,,,,,,,,,,,,,
1913,96366442,3.49,,,,,,,,,,,,,,,,,,,,,,,
1914,97745746,3.44,,,,,,,,,,,,,,,,,,,,,,,
1915,99125050,3.39,,,,,,,,,,,,,,,,,,,,,,,
1916,100504353,3.34,,,,,,,,,,,,,,,,,,,,,,,
1917,101883657,3.30,,,,,,,,,,,,,,,,,,,,,,,
1918,103262961,3.25,,,,,,,,,,,,,,,,,,,,,,,
1919,104642264,3.21,,,,,,,,,,,,,,,,,,,,,,,
1920,106021568,3.17,,,,,,,,,,,,,,,,,,,,,,,
1921,107739677,3.12,,,,,,,,,,,,,,,,,,,,,,,
1922,109457786,3.07,,,,,,,,,,,,,,,,,,,,,,,
1923,111175896,3.02,,,,,,,,,,,,,,,,,,,,,,,
1924,112894005,2.98,,,,,,,,,,,,,,,,,,,,,,,
1925,114612114,2.93,,,,,,,,,,,,,,,,,,,,,,,
1926,116330223,2.89,,,,,,,,,,,,,,,,,,,,,,,
1927,118048332,2.85,,,,,,,,,,,,,,,,,,,,,,,
1928,119766442,2.81,,,,,,,,,,,,,,,,,,,,,,,
1929,121484551,2.77,,,,,,,,,,,,,,,,,,,,,,,
1930,123202660,2.73,,,,,,,,,,,,,,,,,,,,,,,
1931,124098907,2.71,,,,,,,,,,,,,,,,,,,,,,,
1932,124995154,2.69,,,,,,,,,,,,,,,,,,,,,,,
1933,125891401,2.67,,,,,,,,,,,,,,,,,,,,,,,
1934,126787648,2.65,,,,,,,,,,,,,,,,,,,,,,,
1935,127683895,2.63,,,,,,,,,,,,,,,,,,,,,,,
1936,128580141,2.61,,,,,,,,,,,,,,,,,,,,,,,
1937,129476388,2.59,,,,,,,,,,,,,,,,,,,,,,,
1938,130372635,2.58,,,,,,,,,,,,,,,,,,,,,,,
1939,131268882,2.56,,,,,,,,,,,,,,,,,,,,,,,
1940,132165129,2.54,,,,,,,,,,,,,,,,,,,,,,,
1941,134081196,2.51,,,,,,,,,,,,,,,,,,,,,,,
1942,135997263,2.47,,,,,,,,,,,,,,,,,,,,,,,
1943,137913330,2.44,,,,,,,,,,,,,,,,,,,,,,,
1944,139829397,2.40,,,,,,,,,,,,,,,,,,,,,,,
1945,141745464,2.37,,,,,,,,,,,,,,,,,,,,,,,
1946,143661530,2.34,,,,,,,,,,,,,,,,,,,,,,,
1947,145577597,2.31,,,,,,,,,,,,,,,,,,,,,,,
1948,147493664,2.28,,,,,,,,,,,,,,,,,,,,,,,
1949,149409731,2.25,,,,,,,,,,,,,,,,,,,,,,,
1950,151325798,2.22,,,,,,,,,,,,,,,,,,,,,,,
1951,154125536,2.18,,,,,,,,,,,,,,,,,,,,,,,
1952,156925273,2.14,,,,,,,,,,,,,,,,,,,,,,,
1953,159725011,2.10,,,,,,,,,,,,,,,,,,,,,,,
1954,162524749,2.07,,,,,,,,,,,,,,,,,,,,,,,
1955,165324487,2.03,,,,,,,,,,,,,,,,,,,,,,,
1956,168124224,2.00,,,,,,,,,,,,,,,,,,,,,,,
1957,170923962,1.97,,,,,,,,,,,,,,,,,,,,,,,
1958,173723700,1.93,,,,,,,,,,,,,,,,,,,,,,,
1959,176523437,1.90,,,,,,,,,,,,,,,,,,,,,,,
1960,179323175,1.87,,,,,,,,,,,,,,,,,,,,,,,
1961,181712050,1.85,,,,,,,,,,,,,,,,,,,,,,,
1962,184100925,1.83,,,,,,,,,,,,,,,,,,,,,,,
1963,186489800,1.80,,,,,,,,,,,,,,,,,,,,,,,
1964,188878675,1.78,,,,,,,,,,,,,,,,,,,,,,,
1965,191267551,1.76,,,,,,,,,,,,,,,,,,,,,,,
1966,193656426,1.73,,,,,,,,,,,,,,,,,,,,,,,
1967,196045301,1.71,,,,,,,,,,,,,,,,,,,,,,,
1968,198434176,1.69,,,,,,,,,,,,,,,,,,,,,,,
1969,200823051,1.67,,,,,,,,,,,,,,,,,,,,,,,
1970,203211926,1.65,,,,,,,,,,,,,,,,,,,,,,,
1971,205545314,1.63,,,,,,,,,,,,,,,,,,,,,,,
1972,207878702,1.62,,,,,,,,,,,,,,,,,,,,,,,
1973,210212090,1.60,,,,,,,,,,,,,,,,,,,,,,,
1974,212545478,1.58,,,,,,,,,,,,,,,,,,,,,,,
1975,214878866,1.56,,,,,,,,,,,,,,,,,,,,,,,
1976,217212253,1.55,,,,,,,,,,,,,,,,,,,,,,,
1977,219545641,1.53,,,,,,,,,,,,,,,,,,,,,,,
1978,221879029,1.51,,,,,,,,,,,,,,,,,,,,,,,
1979,224212417,1.50,,,,,,,,,,,,,,,,,,,,,,,
1980,226545805,1.48,,,,,,,,,,,,,,,,,,,,,,,
1981,228762212,1.47,,,,,,,,,,,,,,,,,,,,,,,
1982,230978619,1.45,,,,,,,,,,,,,,,,,,,,,,,
1983,233195025,1.44,,,,,,,,,,,,,,,,,,,,,,,
1984,235411432,1.43,,,,,,,,,,,,,,,,,,,,,,,
1985,237627839,1.41,,,,,,,,,,,,,,,,,,,,,,,
1986,239844246,1.40,,,,,,,,,,,,,,,,,,,,,,,
1987,242060653,1.39,,,,,,,,,,,,,,,,,,,,,,,
1988,244277059,1.38,,,,,,,,,,,,,,,,,,,,,,,
1989,246493466,1.36,,,,,,,,,,,,,,,,,,,,,,,
1990,248709873,1.35,,,,,,,,,,,,,,,,,,,,,,,
1991,251981076,1.33,,,,,,,,,,,,,,,,,,,,,,,
1992,255252280,1.32,,,,,,,,,,,,,,,,,,,,,,,
1993,258523483,1.30,,,,,,,,,,,,,,,,,,,,,,,
1994,261794686,1.28,,,,,,,,,,,,,,,,,,,,,,,
1995,265065890,1.27,,,,,,,,,,,,,,,,,,,,,,,
1996,268337093,1.25,,,,,,,,,,,,,,,,,,,,,,,
1997,271608296,1.24,,,,,,,,,,,,,,,,,,,,,,,
1998,274879499,1.22,,,,,,,,,,,,,,,,,,,,,,,
1999,278150703,1.21,,,,,,,,,,,,,,,,,,,,,,,
2000,281421906,1.19,,,,,,,,,,,,,,,,,,,,,,,
2001,284154269,1.18,,,,,,,,,,,,,,,,,,,,,,,
2002,286886632,1.17,,,,,,,,,,,,,,,,,,,,,,,
2003,289618996,1.16,,,,,,,,,,,,,,,,,,,,,,,
2004,292351359,1.15,,,,,,,,,,,,,,,,,,,,,,,
2005,295083722,1.14,,,,,,,,,,,,,,,,,,,,,,,
2006,297816085,1.13,,,,,,,,,,,,,,,,,,,,,,,
2007,300548448,1.12,,,,,,,,,,,,,,,,,,,,,,,
2008,303280812,1.11,,,,,,,,,,,,,,,,,,,,,,,
2009,306013175,1.10,,,,,,,,,,,,,,,,,,,,,,,
2010,308745538,1.09,,,,,,,,,,,,,,,,,,,,,,,
2011,311015912,1.08,,,,,,,,,,,,,,,,,,,,,,,
2012,313286287,1.07,,,,,,,,,,,,,,,,,,,,,,,
2013,315556661,1.06,,,,,,,,,,,,,,,,,,,,,,,
2014,317827035,1.06,,,,,,,,,,,,,,,,,,,,,,,
2015,320097410,1.05,,,,,,,,,,,,,,,,,,,,,,,
2016,322367784,1.04,,,,,,,,,,,,,,,,,,,,,,,
2017,324638158,1.03,,,,,,,,,,,,,,,,,,,,,,,
2018,326908532,1.03,,,,,,,,,,,,,,,,,,,,,,,
2019,329178907,1.02,,,,,,,,,,,,,,,,,,,,,,,
2020,331449281,1.01,,,,,,,,,,,,,,,,,,,,,,,
2021,333719655,1.01,,,,,,,,,,,,,,,,,,,,,,,
2022,335990030,1.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
