Year,Storm_Name,Landfall_I,Landfall_ID,HURDAT_Cod,HURDAT_C_1,RMW,Month,Day,Time_UTC,Formation_,Formation1,Landfall_L,Landfall_1,Landfall_W,Landfall_P,State,SS_Categor,County_Name,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIP,FIPS,County_State_Name,,,,,,,,,,,,,,
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,9,18,1200,15.40000000000,-46.00000000000,25.60000000000,-80.30000000000,125,930,FL,4,Miami-Dade County,Florida,FL,12,086,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,9,18,1200,15.40000000000,-46.00000000000,25.60000000000,-80.30000000000,125,930,FL,4,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
1926,Great Miami_2,149,LF2,AL071926_2,AL071926,15,9,20,2200,15.40000000000,-46.00000000000,30.30000000000,-87.50000000000,100,955,FL,3,Baldwin County,Alabama,AL,01,003,01003,"Baldwin, Alabama",,,,,,,,,,,,,,
1926,Great Miami_2,149,LF2,AL071926_2,AL071926,15,9,20,2200,15.40000000000,-46.00000000000,30.30000000000,-87.50000000000,100,955,FL,3,Escambia County,Florida,FL,12,033,12033,"Escambia, Florida",,,,,,,,,,,,,,
1900,Galveston,101,LF1,AL011900,AL011900,15,9,9,200,15.00000000000,-42.10000000000,29.10000000000,-95.10000000000,120,936,TX,4,Brazoria County,Texas,TX,48,039,48039,"Brazoria, Texas",,,,,,,,,,,,,,
1900,Galveston,101,LF1,AL011900,AL011900,15,9,9,200,15.00000000000,-42.10000000000,29.10000000000,-95.10000000000,120,936,TX,4,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,
2005,Katrina_1,293,LF1,AL122005_1,AL122005,15,8,25,2230,24.50000000000,-76.50000000000,26.00000000000,-80.10000000000,70,984,FL,1,Broward County,Florida,FL,12,011,12011,"Broward, Florida",,,,,,,,,,,,,,
2005,Katrina_1,293,LF1,AL122005_1,AL122005,15,8,25,2230,24.50000000000,-76.50000000000,26.00000000000,-80.10000000000,70,984,FL,1,Miami-Dade County,Florida,FL,12,086,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,
2005,Katrina_2,294,LF2,AL122005_2,AL122005,20,8,29,1110,24.50000000000,-76.50000000000,29.30000000000,-89.60000000000,110,920,LA,3,Jefferson Parish,Louisiana,LA,22,051,22051,"Jefferson, Louisiana",,,,,,,,,,,,,,
2005,Katrina_2,294,LF2,AL122005_2,AL122005,20,8,29,1110,24.50000000000,-76.50000000000,29.30000000000,-89.60000000000,110,920,LA,3,Plaquemines Parish,Louisiana,LA,22,075,22075,"Plaquemines, Louisiana",,,,,,,,,,,,,,
1915,Galveston,128,LF1,AL021915,AL021915,25,8,17,700,14.10000000000,-29.60000000000,29.20000000000,-95.10000000000,115,940,TX,4,Brazoria County,Texas,TX,48,039,48039,"Brazoria, Texas",,,,,,,,,,,,,,
1915,Galveston,128,LF1,AL021915,AL021915,25,8,17,700,14.10000000000,-29.60000000000,29.20000000000,-95.10000000000,115,940,TX,4,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,
1915,Galveston,128,LF1,AL021915,AL021915,25,8,17,700,14.10000000000,-29.60000000000,29.20000000000,-95.10000000000,115,940,TX,4,Harris County,Texas,TX,48,201,48201,"Harris, Texas",,,,,,,,,,,,,,
1992,Andrew_1,267,LF1,AL041992_1,AL041992,10,8,24,905,12.30000000000,-42.00000000000,25.50000000000,-80.30000000000,145,922,FL,5,Miami-Dade County,Florida,FL,12,086,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,
1992,Andrew_2,268,LF2,AL041992_2,AL041992,20,8,26,830,12.30000000000,-42.00000000000,29.60000000000,-91.50000000000,100,956,LA,3,Iberia Parish,Louisiana,LA,22,045,22045,"Iberia, Louisiana",,,,,,,,,,,,,,
1992,Andrew_2,268,LF2,AL041992_2,AL041992,20,8,26,830,12.30000000000,-42.00000000000,29.60000000000,-91.50000000000,100,956,LA,3,St. Mary Parish,Louisiana,LA,22,101,22101,"St. Mary, Louisiana",,,,,,,,,,,,,,
1992,Andrew_2,268,LF2,AL041992_2,AL041992,20,8,26,830,12.30000000000,-42.00000000000,29.60000000000,-91.50000000000,100,956,LA,3,Terrebonne Parish,Louisiana,LA,22,109,22109,"Terrebonne, Louisiana",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Atlantic County,New Jersey,NJ,34,001,34001,"Atlantic, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Cape May County,New Jersey,NJ,34,009,34009,"Cape May, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Cumberland County,New Jersey,NJ,34,011,34011,"Cumberland, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Middlesex County,New Jersey,NJ,34,023,34023,"Middlesex, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Monmouth County,New Jersey,NJ,34,025,34025,"Monmouth, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Ocean County,New Jersey,NJ,34,029,34029,"Ocean, New Jersey",,,,,,,,,,,,,,
2012,Sandy,0,LF1,AL182012,AL182012,80,10,29,2330,12.70000000000,-78.70000000000,39.40000000000,-74.40000000000,70,945,NJ,1,Salem County,New Jersey,NJ,34,033,34033,"Salem, New Jersey",,,,,,,,,,,,,,
1944,Cuba-Florida_1,184,LF1,AL131944_1,AL131944,30,10,18,2100,16.40000000000,-80.60000000000,24.60000000000,-82.90000000000,105,949,FL,3,Monroe County,Florida,FL,12,087,12087,"Monroe, Florida",,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Charlotte County,Florida,FL,12,015,12015,"Charlotte, Florida",,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Hillsborough County,Florida,FL,12,057,12057,"Hillsborough, Florida",,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Lee County,Florida,FL,12,071,12071,"Lee, Florida",,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,LF1,AL131944_2,AL131944,35,10,19,700,16.40000000000,-80.60000000000,27.20000000000,-82.50000000000,90,962,FL,2,Manatee County,Florida,FL,12,081,12081,"Manatee, Florida",,,,,,,,,,,,,,
