Year,Storm_Name,Landfall_I,HURDAT_Cod,HURDAT_C_1,RMW,Month,Day,Time_UTC,Formation_,Formation1,Landfall_L,Landfall_1,Landfall_W,Landfall_P,State,SS_Categor,County_Name,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIP,FIPS,County_State_Name,,,,,,,,,,,,,,,
1900,Galveston,101,AL011900,AL011900,15,9,9,200,15,-42.1,29.1,-95.1,120,936,TX,4,Brazoria County,Texas,TX,48,39,48039,"Brazoria, Texas",,,,,,,,,,,,,,,
1900,Galveston,101,AL011900,AL011900,15,9,9,200,15,-42.1,29.1,-95.1,120,936,TX,4,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,,
1915,Galveston,128,AL021915,AL021915,25,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Brazoria County,Texas,TX,48,39,48039,"Brazoria, Texas",,,,,,,,,,,,,,,
1915,Galveston,128,AL021915,AL021915,25,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,,
1915,Galveston,128,AL021915,AL021915,25,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Harris County,Texas,TX,48,201,48201,"Harris, Texas",,,,,,,,,,,,,,,
1919,Florida Keys_1,138,AL021919_1,AL021919,15,9,10,700,17.1,-64.8,24.6,-82.9,130,927,FL,4,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1919,Florida Keys_2,139,AL021919_2,AL021919,35,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Kenedy County,Texas,TX,48,261,48261,"Kenedy, Texas",,,,,,,,,,,,,,,
1919,Florida Keys_2,139,AL021919_2,AL021919,35,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Kleberg County,Texas,TX,48,273,48273,"Kleberg, Texas",,,,,,,,,,,,,,,
1919,Florida Keys_2,139,AL021919_2,AL021919,35,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Nueces County,Texas,TX,48,355,48355,"Nueces, Texas",,,,,,,,,,,,,,,
1921,Tampa Bay,0,AL061921,AL061921,20,10,25,2000,0,0,28.1,-82.8,100,958,"BFL3,AFL2,DFL1",3,Hillsborough County,Florida,FL,12,57,12057,"Hillsborough, Florida",,,,,,,,,,,,,,,
1921,Tampa Bay,0,AL061921,AL061921,20,10,25,2000,0,0,28.1,-82.8,100,958,"BFL3,AFL2,DFL1",3,Pasco County,Florida,FL,12,101,12101,"Pasco, Florida",,,,,,,,,,,,,,,
1921,Tampa Bay,0,AL061921,AL061921,20,10,25,2000,0,0,28.1,-82.8,100,958,"BFL3,AFL2,DFL1",3,Pinellas County,Florida,FL,12,103,12103,"Pinellas, Florida",,,,,,,,,,,,,,,
1926,Great Miami_1,148,AL071926_1,AL071926,20,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1926,Great Miami_1,148,AL071926_1,AL071926,20,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1926,Great Miami_2,149,AL071926_2,AL071926,15,9,20,2200,15.4,-46,30.3,-87.5,100,955,FL,3,Baldwin County,Alabama,AL,1,3,1003,"Baldwin, Alabama",,,,,,,,,,,,,,,
1926,Great Miami_2,149,AL071926_2,AL071926,15,9,20,2200,15.4,-46,30.3,-87.5,100,955,FL,3,Escambia County,Florida,FL,12,33,12033,"Escambia, Florida",,,,,,,,,,,,,,,
1928,Lake Okeechobee,151,AL041928,AL041928,30,9,17,0,14,-20,26.7,-80,125,929,FL,4,Broward County,Florida,FL,12,11,12011,"Broward, Florida",,,,,,,,,,,,,,,
1928,Lake Okeechobee,151,AL041928,AL041928,30,9,17,0,14,-20,26.7,-80,125,929,FL,4,Martin County,Florida,FL,12,85,12085,"Martin, Florida",,,,,,,,,,,,,,,
1928,Lake Okeechobee,151,AL041928,AL041928,30,9,17,0,14,-20,26.7,-80,125,929,FL,4,Palm Beach County,Florida,FL,12,99,12099,"Palm Beach, Florida",,,,,,,,,,,,,,,
1932,Freeport,156,AL021932,AL021932,10,8,14,400,22,-90.3,29,-95.2,130,935,TX,4,Brazoria County,Texas,TX,48,39,48039,"Brazoria, Texas",,,,,,,,,,,,,,,
1932,Freeport,156,AL021932,AL021932,10,8,14,400,22,-90.3,29,-95.2,130,935,TX,4,Galveston County,Texas,TX,48,167,48167,"Galveston, Texas",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Camden County,North Carolina,NC,37,29,37029,"Camden, North Carolina",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Currituck County,North Carolina,NC,37,53,37053,"Currituck, North Carolina",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Dare County,North Carolina,NC,37,55,37055,"Dare, North Carolina",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Hyde County,North Carolina,NC,37,95,37095,"Hyde, North Carolina",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Pasquotank County,North Carolina,NC,37,139,37139,"Pasquotank, North Carolina",,,,,,,,,,,,,,,
1933,Chesapeake-Potomac,159,AL061933,AL061933,40,8,23,1000,12.5,-22.9,35.8,-75.6,80,963,NC,1,Tyrrell County,North Carolina,NC,37,177,37177,"Tyrrell, North Carolina",,,,,,,,,,,,,,,
1935,Yankee,167,AL071935,AL071935,10,11,4,1800,32.3,-60.9,25.9,-80.1,85,973,FL,2,Broward County,Florida,FL,12,11,12011,"Broward, Florida",,,,,,,,,,,,,,,
1935,Yankee,167,AL071935,AL071935,10,11,4,1800,32.3,-60.9,25.9,-80.1,85,973,FL,2,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1938,Great New England,171,AL061938,AL061938,40,9,21,2000,13.4,-23,40.7,-72.9,105,941,NY,3,New Haven County,Connecticut,CT,9,9,9009,"New Haven, Connecticut",,,,,,,,,,,,,,,
1938,Great New England,171,AL061938,AL061938,40,9,21,2000,13.4,-23,40.7,-72.9,105,941,NY,3,Nassau County,New York,NY,36,59,36059,"Nassau, New York",,,,,,,,,,,,,,,
1938,Great New England,171,AL061938,AL061938,40,9,21,2000,13.4,-23,40.7,-72.9,105,941,NY,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1938,N,171,AL061938,AL061938,40,9,21,2000,13.4,-23,40.7,-72.9,105,941,NY,3,Fairfield County,Connecticut,CT,9,1,9001,"Fairfield, Connecticut",,,,,,,,,,,,,,,
1944,Cuba-Florida_1,184,AL131944_1,AL131944,30,10,18,2100,16.4,-80.6,24.6,-82.9,105,949,FL,3,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Charlotte County,Florida,FL,12,15,12015,"Charlotte, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Hillsborough County,Florida,FL,12,57,12057,"Hillsborough, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Lee County,Florida,FL,12,71,12071,"Lee, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Manatee County,Florida,FL,12,81,12081,"Manatee, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Pinellas County,Florida,FL,12,103,12103,"Pinellas, Florida",,,,,,,,,,,,,,,
1944,Cuba-Florida_2,0,AL131944_2,AL131944,35,10,19,700,16.4,-80.6,27.2,-82.5,90,962,FL,2,Sarasota County,Florida,FL,12,115,12115,"Sarasota, Florida",,,,,,,,,,,,,,,
1944,Great Atlantic_1,183,AL071944_1,AL071944,30,9,15,200,20.8,-58.5,40.9,-72.2,90,954,NY,2,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,New London County,Connecticut,CT,9,11,9011,"New London, Connecticut",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Bristol County,Massachusetts,MA,25,5,25005,"Bristol, Massachusetts",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Bristol County,Rhode Island,RI,44,1,44001,"Bristol, Rhode Island",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Kent County,Rhode Island,RI,44,3,44003,"Kent, Rhode Island",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Newport County,Rhode Island,RI,44,5,44005,"Newport, Rhode Island",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Providence County,Rhode Island,RI,44,7,44007,"Providence, Rhode Island",,,,,,,,,,,,,,,
1944,Great Atlantic_2,0,AL071944_2,AL071944,30,9,15,400,20.8,-58.5,41.4,-71.6,85,957,RI,2,Washington County,Rhode Island,RI,44,9,44009,"Washington, Rhode Island",,,,,,,,,,,,,,,
1945,Homestead,188,AL091945,AL091945,10,9,15,1930,19,-58.5,25.3,-80.3,115,949,FL,4,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1945,Homestead,188,AL091945,AL091945,10,9,15,1930,19,-58.5,25.3,-80.3,115,949,FL,4,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,AL041947_1,AL041947,15,9,16,1630,14.1,-24,26.1,-80.1,115,943,FL,4,Broward County,Florida,FL,12,11,12011,"Broward, Florida",,,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,AL041947_1,AL041947,15,9,16,1630,14.1,-24,26.1,-80.1,115,943,FL,4,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1947,Fort Lauderdale_1,191,AL041947_1,AL041947,15,9,16,1630,14.1,-24,26.1,-80.1,115,943,FL,4,Palm Beach County,Florida,FL,12,99,12099,"Palm Beach, Florida",,,,,,,,,,,,,,,
1947,Fort Lauderdale_2,192,AL041947_2,AL041947,25,9,19,1400,14.1,-24,29.6,-89.5,95,966,LA,2,Plaquemines Parish,Louisiana,LA,22,75,22075,"Plaquemines, Louisiana",,,,,,,,,,,,,,,
1947,Fort Lauderdale_2,192,AL041947_2,AL041947,25,9,19,1400,14.1,-24,29.6,-89.5,95,966,LA,2,St. Bernard Parish,Louisiana,LA,22,87,22087,"St. Bernard, Louisiana",,,,,,,,,,,,,,,
1949,Florida,198,AL021949,AL021949,20,8,26,2300,18,-60,26.6,-80,115,954,FL,4,Broward County,Florida,FL,12,11,12011,"Broward, Florida",,,,,,,,,,,,,,,
1949,Florida,198,AL021949,AL021949,20,8,26,2300,18,-60,26.6,-80,115,954,FL,4,Palm Beach County,Florida,FL,12,99,12099,"Palm Beach, Florida",,,,,,,,,,,,,,,
1954,Carol_1,207,AL061954_1,AL061954,20,8,31,1400,26.1,-76,40.9,-72.2,100,955,NY,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1954,Carol_2,0,AL061954_2,AL061954,20,8,31,1500,26.1,-76,41.3,-72,100,957,CT,3,New London County,Connecticut,CT,9,11,9011,"New London, Connecticut",,,,,,,,,,,,,,,
1954,Carol_2,0,AL061954_2,AL061954,20,8,31,1500,26.1,-76,41.3,-72,100,957,CT,3,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1954,Carol_2,0,AL061954_2,AL061954,20,8,31,1500,26.1,-76,41.3,-72,100,957,CT,3,Washington County,Rhode Island,RI,44,9,44009,"Washington, Rhode Island",,,,,,,,,,,,,,,
1954,Hazel,209,AL141954,AL141954,20,10,15,1530,12,-58.5,33.9,-78.6,115,938,SC,4,Brunswick County,North Carolina,NC,37,19,37019,"Brunswick, North Carolina",,,,,,,,,,,,,,,
1954,Hazel,209,AL141954,AL141954,20,10,15,1530,12,-58.5,33.9,-78.6,115,938,SC,4,Horry County,South Carolina,SC,45,51,45051,"Horry, South Carolina",,,,,,,,,,,,,,,
1960,Donna_1,218,AL051960_1,AL051960,20,9,10,700,11.1,-33.1,24.8,-80.9,125,930,FL,4,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1960,Donna_2,0,AL051960_2,AL051960,20,9,10,1600,11.1,-33.1,25.9,-81.6,105,942,FL,3,Collier County,Florida,FL,12,21,12021,"Collier, Florida",,,,,,,,,,,,,,,
1960,Donna_2,0,AL051960_2,AL051960,20,9,10,1600,11.1,-33.1,25.9,-81.6,105,942,FL,3,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Brunswick County,North Carolina,NC,37,19,37019,"Brunswick, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Carteret County,North Carolina,NC,37,31,37031,"Carteret, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Craven County,North Carolina,NC,37,49,37049,"Craven, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,New Hanover County,North Carolina,NC,37,129,37129,"New Hanover, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Onslow County,North Carolina,NC,37,133,37133,"Onslow, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Pamlico County,North Carolina,NC,37,137,37137,"Pamlico, North Carolina",,,,,,,,,,,,,,,
1960,Donna_3,219,AL051960_3,AL051960,50,9,12,400,11.1,-33.1,34.6,-77.3,90,958,NC,2,Pender County,North Carolina,NC,37,141,37141,"Pender, North Carolina",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,Fairfield County,Connecticut,CT,9,1,9001,"Fairfield, Connecticut",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,Middlesex County,Connecticut,CT,9,7,9007,"Middlesex, Connecticut",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,New Haven County,Connecticut,CT,9,9,9009,"New Haven, Connecticut",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,Nassau County,New York,NY,36,59,36059,"Nassau, New York",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,Queens County,New York,NY,36,81,36081,"Queens, New York",,,,,,,,,,,,,,,
1960,Donna_4,220,AL051960_4,AL051960,50,9,12,1900,11.1,-33.1,40.7,-72.9,85,959,NY,2,Suffolk County,New York,NY,36,103,36103,"Suffolk, New York",,,,,,,,,,,,,,,
1961,Carla,222,AL031961,AL031961,20,9,11,2000,14.9,-80.5,28.3,-96.4,125,931,TX,4,Calhoun County,Texas,TX,48,57,48057,"Calhoun, Texas",,,,,,,,,,,,,,,
1961,Carla,222,AL031961,AL031961,20,9,11,2000,14.9,-80.5,28.3,-96.4,125,931,TX,4,Matagorda County,Texas,TX,48,321,48321,"Matagorda, Texas",,,,,,,,,,,,,,,
1964,Cleo,224,AL051964,AL051964,10,8,27,800,13.1,-44.3,25.8,-80.1,95,968,FL,2,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1964,Dora,225,AL061964,AL061964,5,9,10,600,11,-41.9,29.9,-81.3,95,966,FL,2,St. Johns County,Florida,FL,12,109,12109,"St. Johns, Florida",,,,,,,,,,,,,,,
1965,Betsy_1,228,AL031965_1,AL031965,30,9,8,1100,17.6,-62.7,25,-80.5,100,952,FL,3,Collier County,Florida,FL,12,21,12021,"Collier, Florida",,,,,,,,,,,,,,,
1965,Betsy_1,228,AL031965_1,AL031965,30,9,8,1100,17.6,-62.7,25,-80.5,100,952,FL,3,Miami-Dade County,Florida,FL,12,86,12086,"Miami-Dade, Florida",,,,,,,,,,,,,,,
1965,Betsy_1,228,AL031965_1,AL031965,30,9,8,1100,17.6,-62.7,25,-80.5,100,952,FL,3,Monroe County,Florida,FL,12,87,12087,"Monroe, Florida",,,,,,,,,,,,,,,
1965,Betsy_2,229,AL031965_2,AL031965,30,9,10,400,17.6,-62.7,29.2,-90.1,115,946,LA,4,Jefferson Parish,Louisiana,LA,22,51,22051,"Jefferson, Louisiana",,,,,,,,,,,,,,,
1965,Betsy_2,229,AL031965_2,AL031965,30,9,10,400,17.6,-62.7,29.2,-90.1,115,946,LA,4,Lafourche Parish,Louisiana,LA,22,57,22057,"Lafourche, Louisiana",,,,,,,,,,,,,,,
1965,Betsy_2,229,AL031965_2,AL031965,30,9,10,400,17.6,-62.7,29.2,-90.1,115,946,LA,4,Plaquemines Parish,Louisiana,LA,22,75,22075,"Plaquemines, Louisiana",,,,,,,,,,,,,,,
1965,Betsy_2,229,AL031965_2,AL031965,30,9,10,400,17.6,-62.7,29.2,-90.1,115,946,LA,4,Terrebonne Parish,Louisiana,LA,22,109,22109,"Terrebonne, Louisiana",,,,,,,,,,,,,,,
1969,Camille,234,AL091969,AL091969,5,8,18,400,18.5,-80.5,30.3,-89.4,150,900,MS,5,Hancock County,Mississippi,MS,28,45,28045,"Hancock, Mississippi",,,,,,,,,,,,,,,
1970,Celia,236,AL041970,AL041970,10,8,3,2100,21.9,-84.3,27.8,-97.1,120,944,TX,4,Aransas County,Texas,TX,48,7,48007,"Aransas, Texas",,,,,,,,,,,,,,,
1970,Celia,236,AL041970,AL041970,10,8,3,2100,21.9,-84.3,27.8,-97.1,120,944,TX,4,Nueces County,Texas,TX,48,355,48355,"Nueces, Texas",,,,,,,,,,,,,,,
1970,Celia,236,AL041970,AL041970,10,8,3,2100,21.9,-84.3,27.8,-97.1,120,944,TX,4,San Patricio County,Texas,TX,48,409,48409,"San Patricio, Texas",,,,,,,,,,,,,,,
1972,Agnes_1,240,AL021972_1,AL021972,50,6,19,1800,20,-86.2,29.9,-85.4,65,980,FL,1,Bay County,Florida,FL,12,5,12005,"Bay, Florida",,,,,,,,,,,,,,,
