Year,Storm_Name,Landfall_I,Landfall_ID,HURDAT_Cod,HURDAT_C_1,RMW,RMW*1.5,RMW*2,Month,Day,Time_UTC,Formation_,Formation1,Landfall_Lat,Landfall_Long,Landfall_W,Landfall_P,State,SS_Categor,RMW*2_County Name,State_Name,STATE_ABBR,STATE_FIPS,County_FIPS,FIPS_Code,County_State
1900,Galveston,101,LF1,AL011900,AL011900,15,22.5,30,9,9,200,15,-42.1,29.1,-95.1,120,936,TX,4,Brazoria County,Texas,TX,48,39,48039,Brazoria County Texas
1900,Galveston,101,LF1,AL011900,AL011900,15,22.5,30,9,9,200,15,-42.1,29.1,-95.1,120,936,TX,4,Galveston County,Texas,TX,48,167,48167,Galveston County Texas
1900,Galveston,101,LF1,AL011900,AL011900,15,22.5,30,9,9,200,15,-42.1,29.1,-95.1,120,936,TX,4,Harris County,Texas,TX,48,201,48201,Harris County Texas
1915,Galveston,128,LF1,AL021915,AL021915,25,37.5,50,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Brazoria County,Texas,TX,48,39,48039,Brazoria County Texas
1915,Galveston,128,LF1,AL021915,AL021915,25,37.5,50,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Chambers County,Texas,TX,48,71,48071,Chambers County Texas
1915,Galveston,128,LF1,AL021915,AL021915,25,37.5,50,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Galveston County,Texas,TX,48,167,48167,Galveston County Texas
1915,Galveston,128,LF1,AL021915,AL021915,25,37.5,50,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Harris County,Texas,TX,48,201,48201,Harris County Texas
1915,Galveston,128,LF1,AL021915,AL021915,25,37.5,50,8,17,700,14.1,-29.6,29.2,-95.1,115,940,TX,4,Matagorda County,Texas,TX,48,321,48321,Matagorda County Texas
1919,Florida Keys_1,138,LF1,AL021919_1,AL021919,15,22.5,30,9,10,700,17.1,-64.8,24.6,-82.9,130,927,FL,4,Monroe County,Florida,FL,12,87,12087,Monroe County Florida
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Aransas County,Texas,TX,48,7,48007,Aransas County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Calhoun County,Texas,TX,48,57,48057,Calhoun County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Cameron County,Texas,TX,48,61,48061,Cameron County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Kenedy County,Texas,TX,48,261,48261,Kenedy County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Kleberg County,Texas,TX,48,273,48273,Kleberg County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Nueces County,Texas,TX,48,355,48355,Nueces County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Refugio County,Texas,TX,48,391,48391,Refugio County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,San Patricio County,Texas,TX,48,409,48409,San Patricio County Texas
1919,Florida Keys_2,139,LF2,AL021919_2,AL021919,35,52.5,70,9,14,2100,17.1,-64.8,27.2,-97.3,100,950,TX,3,Willacy County,Texas,TX,48,489,48489,Willacy County Texas
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,30,40,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Broward County,Florida,FL,12,11,12011,Broward County Florida
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,30,40,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Collier County,Florida,FL,12,21,12021,Collier County Florida
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,30,40,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Miami-Dade County,Florida,FL,12,86,12086,Miami-Dade County Florida
1926,Great Miami_1,148,LF1,AL071926_1,AL071926,20,30,40,9,18,1200,15.4,-46,25.6,-80.3,125,930,FL,4,Monroe County,Florida,FL,12,87,12087,Monroe County Florida
1926,Great Miami_2,149,LF2,AL071926_2,AL071926,15,22.5,30,9,20,2200,15.4,-46,30.3,-87.5,100,955,FL,3,Baldwin County,Alabama,AL,1,3,1003,Baldwin County Alabama
1926,Great Miami_2,149,LF2,AL071926_2,AL071926,15,22.5,30,9,20,2200,15.4,-46,30.3,-87.5,100,955,FL,3,Escambia County,Florida,FL,12,33,12033,Escambia County Florida
1926,Great Miami_2,149,LF2,AL071926_2,AL071926,15,22.5,30,9,20,2200,15.4,-46,30.3,-87.5,100,955,FL,3,Santa Rosa County,Florida,FL,12,113,12113,Santa Rosa County Florida
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,45,60,9,17,0,14,-20,26.7,-80,125,929,FL,4,Broward County,Florida,FL,12,11,12011,Broward County Florida
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,45,60,9,17,0,14,-20,26.7,-80,125,929,FL,4,Martin County,Florida,FL,12,85,12085,Martin County Florida
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,45,60,9,17,0,14,-20,26.7,-80,125,929,FL,4,Miami-Dade County,Florida,FL,12,86,12086,Miami-Dade County Florida
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,45,60,9,17,0,14,-20,26.7,-80,125,929,FL,4,Palm Beach County,Florida,FL,12,99,12099,Palm Beach County Florida
1928,Lake Okeechobee,151,LF1,AL041928,AL041928,30,45,60,9,17,0,14,-20,26.7,-80,125,929,FL,4,St. Lucie County,Florida,FL,12,111,12111,St Lucie County Florida
