Name,Year,Landfall,2022 Popualtion Multiplier,2022 Housing Unit Multiplier
Galveston,1900,D_LF1_AVG,12.6371,26.6487
Florida,1903,D_LF1_AVG,871.0755,1349.8536
Galveston,1915,D_LF1_AVG,25.4720,49.1169
Gulf Coast,1916,D_LF1_AVG,9.7771,21.6013
Florida Keys,1919,D_LF1_AVG,4.1369,13.8821
Florida Keys,1919,D_LF2_AVG,16.8292,35.8499
Florida Keys,1919,AVG_All ,10.9270,25.8272
Tampa Bay,1921,D_LF1_AVG,22.7732,46.9192
Great Miami,1926,D_LF1_AVG,23.1816,40.9911
Great Miami,1926,D_LF2_AVG,7.4027,16.7618
Great Miami,1926,AVG_All ,16.9700,31.9145
Nassau,1926,D_LF1_AVG,16.5465,29.4703
Lake Okeechobee,1928,D_LF1_AVG,54.6750,106.5194
Freeport,1932,D_LF1_AVG,8.1354,14.4252
Chesapeake-Potomac,1933,D_LF1_AVG,2.5374,7.0041
Yankee,1935,D_LF1_AVG,19.6389,26.9182
Great New England,1938,D_LF1_AVG,3.2232,4.1931
Matagorda,1942,D_LF1_AVG,2.1375,3.9310
Cuba Florida,1944,D_LF1_AVG,10.6055,14.7696
Cuba Florida,1944,DIL_LF1,2.6590,4.9091
Great Atlantic,1944,D_LF1_AVG,2.3463,3.1378
Great Atlantic,1944,ID_LF1,2.8396,5.3420
Homestead,1945,D_LF1_AVG,6.8303,8.6505
Fort Lauderdale,1947,D_LF1_AVG,10.2008,11.9350
Fort Lauderdale,1947,D_LF2_AVG,2.8378,4.3253
Fort Lauderdale,1947,AVG_All ,9.9229,11.7212
Florida,1949,D_LF1_AVG,18.1690,20.1165
King,1950,D_LF1_AVG,5.4008,6.0642
Hazel,1954,D_LF1_AVG,6.4719,12.3198
Carol,1954,D_LF1_AVG,2.9777,3.3797
Carol,1954,ID_LF1,2.5117,4.2026
Donna,1960,D_LF1_AVG,7.5337,13.0166
Donna,1960,D_LF2_AVG,2.8814,5.2239
Donna,1960,D_LF3_AVG,1.3854,1.6847
Donna,1960,AVG_All ,1.5353,2.0001
